,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Kyle Okposo,RW,2007-2008,NYI,9,2,3,5,3,2,1,1,0,1,1,0,15,13.33,0
1,Kyle Okposo,RW,2008-2009,NYI,65,18,21,39,-6,36,9,13,0,1,3,1,165,10.91,33.33
2,Kyle Okposo,RW,2009-2010,NYI,80,19,33,52,-22,34,4,22,0,1,4,2,249,7.63,47.83
3,Kyle Okposo,RW,2010-2011,NYI,38,5,15,20,3,40,0,5,0,0,2,0,72,6.94,41.38
4,Kyle Okposo,RW,2011-2012,NYI,79,24,21,45,-15,46,3,6,0,0,2,0,152,15.79,47.89
5,Kyle Okposo,RW,2012-2013,NYI,48,4,20,24,-2,38,0,3,0,0,0,0,101,3.96,55.91
6,Kyle Okposo,RW,2013-2014,NYI,71,27,42,69,-9,51,5,15,0,0,4,1,195,13.85,47.55
7,Kyle Okposo,RW,2014-2015,NYI,60,18,33,51,-8,12,6,18,0,0,2,0,195,9.23,49.69
8,Kyle Okposo,RW,2015-2016,NYI,79,22,42,64,-4,51,7,23,0,0,4,2,202,10.89,36.51
9,Kyle Okposo,RW,2016-2017,BUF,65,19,26,45,-7,24,7,23,0,0,2,1,156,12.18,54.55
10,Kyle Okposo,RW,2017-2018,BUF,76,15,29,44,-34,40,6,21,0,0,2,0,161,9.32,46
11,Kyle Okposo,RW,2018-2019,BUF,78,14,15,29,-9,41,7,11,0,0,2,0,147,9.52,47.01
12,Kyle Okposo,RW,2019-2020,BUF,52,9,10,19,-3,28,1,1,0,0,2,0,82,11,53.52
13,Kyle Okposo,RW,2020-2021,BUF,35,2,11,13,-1,0,0,0,1,2,0,0,45,4.4,54.17
14,Kyle Okposo,RW,2021-2022,BUF,74,21,24,45,-15,43,8,14,2,2,1,0,174,12.1,49.73
15,Kyle Okposo,RW,2022-2023,BUF,25,3,10,13,3,12,1,4,0,0,0,0,51,5.9,41.11
