,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Brent Burns,D,2003-2004,MIN,36,1,5,6,-10,12,0,2,0,0,0,0,34,2.94,28.57
1,Brent Burns,D,2005-2006,MIN,72,4,12,16,-7,32,1,4,0,1,1,0,73,5.48,54.55
2,Brent Burns,D,2006-2007,MIN,77,7,18,25,16,26,3,7,0,1,3,2,108,6.48,25
3,Brent Burns,D,2007-2008,MIN,82,15,28,43,12,80,8,19,0,1,4,1,158,9.49,100
4,Brent Burns,D,2008-2009,MIN,59,8,19,27,-7,45,4,14,0,0,2,1,147,5.44,60
5,Brent Burns,D,2009-2010,MIN,47,3,17,20,-15,32,2,11,0,0,0,0,104,2.88,0
6,Brent Burns,D,2010-2011,MIN,80,17,29,46,-10,98,8,14,0,1,3,1,170,10,50
7,Brent Burns,D,2011-2012,SJS,81,11,26,37,8,34,5,16,0,0,2,1,201,5.47,0
8,Brent Burns,D,2012-2013,SJS,30,9,11,20,0,20,2,3,0,0,0,0,81,11.11,30.77
9,Brent Burns,D,2013-2014,SJS,69,22,26,48,26,34,2,11,0,0,3,0,245,8.98,46.56
10,Brent Burns,D,2014-2015,SJS,82,17,43,60,-9,65,7,24,0,0,2,1,245,6.94,0
11,Brent Burns,D,2015-2016,SJS,82,27,48,75,-5,53,7,30,1,2,4,1,353,7.65,100
12,Brent Burns,D,2016-2017,SJS,82,29,47,76,19,40,8,25,0,1,6,3,320,9.06,0
13,Brent Burns,D,2017-2018,SJS,82,12,55,67,-16,46,5,27,0,1,2,1,332,3.61,0
14,Brent Burns,D,2018-2019,SJS,82,16,67,83,13,34,7,28,1,5,6,2,300,5.33,0
15,Brent Burns,D,2019-2020,SJS,70,12,33,45,-22,34,5,17,0,1,1,1,225,5.3,0
16,Brent Burns,D,2020-2021,SJS,56,7,22,29,-13,36,2,6,0,1,1,0,138,5.1,0
17,Brent Burns,D,2021-2022,SJS,82,10,44,54,-15,42,4,18,0,1,0,0,203,4.9,0
18,Brent Burns,D,2022-2023,CAR,34,4,19,23,6,26,2,11,0,0,1,1,108,3.7,0
