,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jordan Staal,C,2006-2007,PIT,81,29,13,42,16,24,4,6,7,9,4,1,131,22.14,37.08
1,Jordan Staal,C,2007-2008,PIT,82,12,16,28,-5,55,3,7,0,1,4,0,183,6.56,42.18
2,Jordan Staal,C,2008-2009,PIT,82,22,27,49,5,37,2,6,1,4,3,0,166,13.25,47.01
3,Jordan Staal,C,2009-2010,PIT,82,21,28,49,19,57,1,5,2,3,1,0,195,10.77,48.26
4,Jordan Staal,C,2010-2011,PIT,42,11,19,30,7,24,3,7,0,2,4,1,91,12.09,46.94
5,Jordan Staal,C,2011-2012,PIT,62,25,25,50,11,34,5,7,3,5,0,0,149,16.78,51.04
6,Jordan Staal,C,2012-2013,CAR,48,10,21,31,-18,32,1,7,0,1,1,0,114,8.77,50.11
7,Jordan Staal,C,2013-2014,CAR,82,15,25,40,2,34,2,10,1,4,2,0,165,9.09,54.37
8,Jordan Staal,C,2014-2015,CAR,46,6,18,24,-6,14,1,7,0,0,1,0,92,6.52,56.38
9,Jordan Staal,C,2015-2016,CAR,82,20,28,48,6,34,6,10,0,2,4,3,151,13.25,57.78
10,Jordan Staal,C,2016-2017,CAR,75,16,29,45,-1,38,4,8,1,1,3,0,164,9.76,59.09
11,Jordan Staal,C,2017-2018,CAR,79,19,27,46,-4,26,4,12,2,2,2,0,160,11.88,56.58
12,Jordan Staal,C,2018-2019,CAR,50,11,17,28,6,26,0,2,0,0,1,0,121,9.09,55.82
13,Jordan Staal,C,2019-2020,CAR,68,8,19,27,3,40,2,3,0,0,0,0,125,6.4,54.44
14,Jordan Staal,C,2020-2021,CAR,53,16,22,38,2,30,7,14,0,1,4,1,103,15.5,57.99
15,Jordan Staal,C,2021-2022,CAR,78,17,19,36,11,18,1,2,0,0,2,0,146,11.6,57.28
16,Jordan Staal,C,2022-2023,CAR,34,10,7,17,6,10,0,0,0,0,3,0,53,18.9,53.63
