,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Paul Stastny,C,2006-2007,COL,82,28,50,78,4,42,11,31,0,1,6,0,185,15.14,48.45
1,Paul Stastny,C,2007-2008,COL,66,24,47,71,22,24,3,21,0,1,4,1,138,17.39,50.95
2,Paul Stastny,C,2008-2009,COL,45,11,25,36,-9,22,7,19,0,0,2,0,118,9.32,51.76
3,Paul Stastny,C,2009-2010,COL,81,20,59,79,2,50,9,25,0,0,2,0,199,10.05,49.97
4,Paul Stastny,C,2010-2011,COL,74,22,35,57,-7,56,4,19,1,1,3,1,181,12.15,53.15
5,Paul Stastny,C,2011-2012,COL,79,21,32,53,-8,34,7,19,0,0,2,0,190,11.05,55.41
6,Paul Stastny,C,2012-2013,COL,40,9,15,24,-7,14,2,10,0,0,1,0,87,10.34,52.37
7,Paul Stastny,C,2013-2014,COL,71,25,35,60,9,22,4,15,0,1,4,1,150,16.67,54.13
8,Paul Stastny,C,2014-2015,STL,74,16,30,46,5,40,7,15,0,0,7,0,143,11.19,57.94
9,Paul Stastny,C,2015-2016,STL,64,10,39,49,3,26,2,14,0,0,2,0,103,9.71,56.07
10,Paul Stastny,C,2016-2017,STL,66,18,22,40,4,36,5,13,0,0,5,0,112,16.07,55.74
11,Paul Stastny,C,2017-2018,STL,63,12,28,40,-5,14,3,5,0,1,1,0,135,8.89,55.18
12,Paul Stastny,C,2017-2018,WPG,19,4,9,13,6,4,0,4,0,0,2,0,24,16.67,53.82
13,Paul Stastny,C,2018-2019,VGK,50,13,29,42,14,30,1,4,1,2,2,0,103,12.62,54.66
14,Paul Stastny,C,2019-2020,VGK,71,17,21,38,6,24,5,10,0,1,3,1,136,12.5,54.78
15,Paul Stastny,C,2020-2021,WPG,56,13,16,29,-3,32,2,8,0,0,4,1,101,12.9,54.73
16,Paul Stastny,C,2021-2022,WPG,71,21,24,45,14,14,4,8,0,0,2,0,141,14.9,56.57
17,Paul Stastny,C,2022-2023,CAR,33,1,7,8,0,14,0,1,0,0,1,0,34,2.9,59.28
