,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Stefan Noesen,RW,2014-2015,ANA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,Stefan Noesen,RW,2015-2016,ANA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Stefan Noesen,RW,2016-2017,ANA,12,2,0,2,2,2,0,0,0,0,0,0,12,16.67,38.18
3,Stefan Noesen,RW,2016-2017,NJD,32,6,2,8,4,22,0,0,0,0,0,0,51,11.76,41.67
4,Stefan Noesen,RW,2017-2018,NJD,72,13,14,27,12,36,0,0,0,0,4,0,127,10.24,36.36
5,Stefan Noesen,RW,2018-2019,NJD,41,3,5,8,-19,28,0,0,0,0,0,0,64,4.69,41.07
6,Stefan Noesen,RW,2019-2020,PIT,6,1,0,1,0,0,0,0,0,0,0,0,8,12.5,75
7,Stefan Noesen,RW,2019-2020,SJS,34,6,2,8,-1,32,1,1,0,0,2,0,59,10.2,28.57
8,Stefan Noesen,RW,2020-2021,SJS,5,0,0,0,0,2,0,0,0,0,0,0,5,0,25
9,Stefan Noesen,RW,2020-2021,TOR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Stefan Noesen,RW,2021-2022,CAR,2,0,0,0,1,0,0,0,0,0,0,0,4,0,0
11,Stefan Noesen,RW,2022-2023,CAR,33,7,10,17,3,17,5,9,0,0,1,0,66,10.6,55.56
