,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Boone Jenner,C,2013-2014,CBJ,72,16,13,29,6,45,4,7,0,0,5,0,127,12.6,46.67
1,Boone Jenner,C,2014-2015,CBJ,31,9,8,17,-5,12,2,5,0,0,2,0,83,10.84,49.35
2,Boone Jenner,C,2015-2016,CBJ,82,30,19,49,-15,77,9,14,1,1,3,0,225,13.33,53.06
3,Boone Jenner,C,2016-2017,CBJ,82,18,16,34,14,52,0,1,2,2,4,0,211,8.53,50
4,Boone Jenner,C,2017-2018,CBJ,75,13,19,32,1,39,2,3,0,0,2,0,187,6.95,55.49
5,Boone Jenner,C,2018-2019,CBJ,77,16,22,38,6,42,1,3,1,1,3,0,170,9.41,54.11
6,Boone Jenner,C,2019-2020,CBJ,70,11,13,24,-14,36,2,4,0,1,1,0,179,6.1,55.15
7,Boone Jenner,C,2020-2021,CBJ,41,8,9,17,-9,6,1,1,1,1,0,0,79,10.1,55.13
8,Boone Jenner,C,2021-2022,CBJ,59,23,21,44,-11,22,8,10,0,0,3,0,160,14.4,53.59
9,Boone Jenner,C,2022-2023,CBJ,30,11,11,22,-12,12,5,6,0,0,1,0,93,11.8,55.91
