,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Erik Gudbranson,D,2011-2012,FLA,72,2,6,8,-19,78,0,1,0,0,0,0,76,2.63,0
1,Erik Gudbranson,D,2012-2013,FLA,32,0,4,4,-22,47,0,1,0,0,0,0,49,0,0
2,Erik Gudbranson,D,2013-2014,FLA,65,3,6,9,-7,114,0,1,0,0,0,0,92,3.26,0
3,Erik Gudbranson,D,2014-2015,FLA,76,4,9,13,-4,58,0,4,0,0,0,0,110,3.64,0
4,Erik Gudbranson,D,2015-2016,FLA,64,2,7,9,3,49,0,0,0,0,0,0,73,2.74,0
5,Erik Gudbranson,D,2016-2017,VAN,30,1,5,6,-14,18,0,0,0,0,1,0,40,2.5,0
6,Erik Gudbranson,D,2017-2018,VAN,52,2,3,5,-7,35,0,0,0,0,0,0,53,3.77,0
7,Erik Gudbranson,D,2018-2019,VAN,57,2,6,8,-27,83,0,0,0,0,1,0,72,2.78,0
8,Erik Gudbranson,D,2018-2019,PIT,19,0,2,2,7,4,0,0,0,1,0,0,22,0,0
9,Erik Gudbranson,D,2019-2020,PIT,7,0,0,0,0,4,0,0,0,0,0,0,2,0,0
10,Erik Gudbranson,D,2019-2020,ANA,44,4,5,9,0,91,0,0,0,1,0,0,76,5.3,0
11,Erik Gudbranson,D,2020-2021,OTT,36,1,2,3,-13,47,0,0,0,0,1,0,53,1.9,0
12,Erik Gudbranson,D,2020-2021,NSH,9,0,1,1,1,12,0,0,0,0,0,0,5,0,0
13,Erik Gudbranson,D,2021-2022,CGY,78,6,11,17,15,68,0,0,0,0,0,0,129,4.7,0
14,Erik Gudbranson,D,2022-2023,CBJ,32,1,7,8,-15,28,0,0,0,0,1,0,47,2.1,0
