,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Johnny Gaudreau,LW,2013-2014,CGY,1,1,0,1,1,0,0,0,0,0,0,0,1,100,0
1,Johnny Gaudreau,LW,2014-2015,CGY,80,24,40,64,11,14,8,21,0,0,4,0,167,14.37,37.5
2,Johnny Gaudreau,LW,2015-2016,CGY,79,30,48,78,4,20,6,21,0,0,6,3,217,13.82,40
3,Johnny Gaudreau,LW,2016-2017,CGY,72,18,43,61,-7,4,4,16,0,0,3,1,182,9.89,0
4,Johnny Gaudreau,LW,2017-2018,CGY,80,24,60,84,2,26,3,24,0,0,4,0,227,10.57,20
5,Johnny Gaudreau,LW,2018-2019,CGY,82,36,63,99,18,24,6,27,0,0,8,3,245,14.69,33.33
6,Johnny Gaudreau,LW,2019-2020,CGY,70,18,40,58,-10,12,6,18,0,0,2,0,209,8.6,25
7,Johnny Gaudreau,LW,2020-2021,CGY,56,19,30,49,2,6,7,19,0,0,5,2,112,17,0
8,Johnny Gaudreau,LW,2021-2022,CGY,82,40,75,115,64,26,6,25,0,0,9,2,262,15.3,100
9,Johnny Gaudreau,LW,2022-2023,CBJ,33,10,24,34,-16,10,0,9,0,0,2,1,93,10.8,0
