,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Chris Tanev,D,2010-2011,VAN,29,0,1,1,0,0,0,1,0,0,0,0,15,0,0
1,Chris Tanev,D,2011-2012,VAN,25,0,2,2,10,2,0,0,0,0,0,0,15,0,0
2,Chris Tanev,D,2012-2013,VAN,38,2,5,7,4,10,0,0,0,0,1,1,20,10,0
3,Chris Tanev,D,2013-2014,VAN,64,6,11,17,12,8,0,0,1,1,2,0,65,9.23,0
4,Chris Tanev,D,2014-2015,VAN,70,2,18,20,8,12,0,2,0,0,1,1,53,3.77,0
5,Chris Tanev,D,2015-2016,VAN,69,4,14,18,-8,8,2,3,0,1,0,0,42,9.52,0
6,Chris Tanev,D,2016-2017,VAN,53,2,8,10,3,14,0,0,0,0,1,1,39,5.13,0
7,Chris Tanev,D,2017-2018,VAN,42,2,9,11,7,8,0,0,0,2,0,0,31,6.45,0
8,Chris Tanev,D,2018-2019,VAN,55,2,10,12,3,18,0,0,0,0,0,0,51,3.92,0
9,Chris Tanev,D,2019-2020,VAN,69,2,18,20,4,41,0,1,0,1,1,1,45,4.4,0
10,Chris Tanev,D,2020-2021,CGY,56,2,10,12,15,6,0,0,0,0,0,0,66,3,0
11,Chris Tanev,D,2021-2022,CGY,82,6,22,28,35,22,0,0,0,0,3,0,88,6.8,0
12,Chris Tanev,D,2022-2023,CGY,27,0,5,5,-3,4,0,0,0,0,0,0,26,0,0
