,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jonathan Huberdeau,C,2012-2013,FLA,48,14,17,31,-15,18,2,9,0,0,1,0,112,12.5,33.33
1,Jonathan Huberdeau,C,2013-2014,FLA,69,9,19,28,-5,37,2,5,0,0,1,0,108,8.33,45.45
2,Jonathan Huberdeau,C,2014-2015,FLA,79,15,39,54,10,38,0,12,0,0,0,0,169,8.88,25
3,Jonathan Huberdeau,C,2015-2016,FLA,76,20,39,59,17,43,4,13,1,1,2,0,174,11.49,38.89
4,Jonathan Huberdeau,C,2016-2017,FLA,31,10,16,26,-2,13,3,7,0,0,2,1,86,11.63,44.44
5,Jonathan Huberdeau,C,2017-2018,FLA,82,27,42,69,-2,32,7,19,0,0,4,0,204,13.24,47.73
6,Jonathan Huberdeau,C,2018-2019,FLA,82,30,62,92,-14,40,11,34,0,0,5,0,226,13.27,63.16
7,Jonathan Huberdeau,C,2019-2020,FLA,69,23,55,78,5,30,5,29,0,0,3,1,152,15.1,39.34
8,Jonathan Huberdeau,C,2020-2021,FLA,55,20,41,61,12,36,5,24,0,0,1,1,122,16.4,43.59
9,Jonathan Huberdeau,C,2021-2022,FLA,80,30,85,115,35,54,5,38,3,5,7,2,222,13.5,33.33
10,Jonathan Huberdeau,C,2022-2023,CGY,32,6,18,24,4,20,3,10,0,0,0,0,52,11.5,33.33
