,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Mikael Backlund,C,2008-2009,CGY,1,0,0,0,0,0,0,0,0,0,0,0,1,0,28.57
1,Mikael Backlund,C,2009-2010,CGY,23,1,9,10,5,6,0,0,0,0,0,0,47,2.13,53.4
2,Mikael Backlund,C,2010-2011,CGY,73,10,15,25,4,18,2,4,0,1,1,0,144,6.94,48.04
3,Mikael Backlund,C,2011-2012,CGY,41,4,7,11,-13,16,2,3,0,0,2,0,85,4.71,45.36
4,Mikael Backlund,C,2012-2013,CGY,32,8,8,16,-6,29,2,4,0,0,1,0,88,9.09,47.67
5,Mikael Backlund,C,2013-2014,CGY,76,18,21,39,4,32,5,11,4,4,3,1,178,10.11,47.5
6,Mikael Backlund,C,2014-2015,CGY,52,10,17,27,4,14,0,1,2,2,2,1,103,9.71,48.34
7,Mikael Backlund,C,2015-2016,CGY,82,21,26,47,10,28,3,9,3,4,4,2,155,13.55,47.16
8,Mikael Backlund,C,2016-2017,CGY,81,22,31,53,9,36,7,16,0,3,7,2,197,11.17,48.07
9,Mikael Backlund,C,2017-2018,CGY,82,14,31,45,-21,78,3,11,1,3,2,0,214,6.54,50
10,Mikael Backlund,C,2018-2019,CGY,77,21,26,47,34,52,1,2,1,2,4,1,205,10.24,49.56
11,Mikael Backlund,C,2019-2020,CGY,70,16,29,45,3,26,3,10,3,3,3,0,157,10.2,47.3
12,Mikael Backlund,C,2020-2021,CGY,54,9,23,32,-7,30,0,6,1,2,1,0,144,6.3,51.95
13,Mikael Backlund,C,2021-2022,CGY,82,12,27,39,16,30,0,7,0,0,1,0,214,5.6,50.53
14,Mikael Backlund,C,2022-2023,CGY,35,6,12,18,5,22,1,2,1,2,1,0,100,6,52.31
