,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Milan Lucic,LW,2007-2008,BOS,77,8,19,27,-2,89,1,3,0,0,4,0,88,9.09,50
1,Milan Lucic,LW,2008-2009,BOS,72,17,25,42,17,136,2,8,0,0,3,0,97,17.53,60
2,Milan Lucic,LW,2009-2010,BOS,50,9,11,20,-7,44,0,1,0,0,2,0,72,12.5,21.43
3,Milan Lucic,LW,2010-2011,BOS,79,30,32,62,28,121,5,14,0,0,7,0,173,17.34,38.89
4,Milan Lucic,LW,2011-2012,BOS,81,26,35,61,7,135,7,11,0,0,1,0,149,17.45,46.67
5,Milan Lucic,LW,2012-2013,BOS,46,7,20,27,8,75,0,2,0,0,0,0,79,8.86,48.57
6,Milan Lucic,LW,2013-2014,BOS,80,24,35,59,30,91,3,12,0,0,5,1,153,15.69,46.56
7,Milan Lucic,LW,2014-2015,BOS,81,18,26,44,13,81,2,8,0,0,4,0,141,12.77,44.74
8,Milan Lucic,LW,2015-2016,LAK,81,20,35,55,26,79,2,8,0,0,5,0,124,16.13,35
9,Milan Lucic,LW,2016-2017,EDM,82,23,27,50,-3,50,12,25,0,0,3,0,175,13.14,57.14
10,Milan Lucic,LW,2017-2018,EDM,82,10,24,34,-12,80,3,7,0,0,1,0,147,6.8,55.77
11,Milan Lucic,LW,2018-2019,EDM,79,6,14,20,-9,91,2,4,0,0,0,0,74,8.11,55.56
12,Milan Lucic,LW,2019-2020,CGY,68,8,12,20,-6,54,5,8,0,0,1,0,83,9.6,43.48
13,Milan Lucic,LW,2020-2021,CGY,56,10,13,23,-8,46,2,2,0,0,0,0,74,13.5,27.27
14,Milan Lucic,LW,2021-2022,CGY,82,10,11,21,-9,84,2,3,0,0,0,0,95,10.5,55.88
15,Milan Lucic,LW,2022-2023,CGY,32,2,7,9,-4,18,0,0,0,0,0,0,31,6.5,46.67
