,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Nikita Zadorov,D,2013-2014,BUF,7,1,0,1,-4,4,0,0,0,0,0,0,4,25,0
1,Nikita Zadorov,D,2014-2015,BUF,60,3,12,15,-10,51,2,5,0,0,1,1,52,5.77,100
2,Nikita Zadorov,D,2015-2016,COL,22,0,2,2,-5,12,0,0,0,0,0,0,18,0,0
3,Nikita Zadorov,D,2016-2017,COL,56,0,10,10,-20,73,0,2,0,0,0,0,61,0,0
4,Nikita Zadorov,D,2017-2018,COL,77,7,13,20,4,103,0,1,0,0,1,0,94,7.45,0
5,Nikita Zadorov,D,2018-2019,COL,70,7,7,14,19,75,0,0,0,0,0,0,100,7,0
6,Nikita Zadorov,D,2019-2020,COL,64,4,9,13,6,65,0,0,0,0,0,0,65,6.2,0
7,Nikita Zadorov,D,2020-2021,CHI,55,1,7,8,1,36,0,0,0,0,0,0,52,1.9,0
8,Nikita Zadorov,D,2021-2022,CGY,74,4,18,22,11,77,0,0,0,0,0,0,106,3.8,0
9,Nikita Zadorov,D,2022-2023,CGY,35,4,3,7,10,39,0,1,0,0,0,0,60,6.7,0
