,Name,Position,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Overtime Losses,Shots Against,Goals Against,Goals Against Average,Saves,Save Percentage,Shutouts,Minutes
0,Alex Stalock,G,2010-2011,SJS,1,0,1,0,--,0,9,0,0,9,1.000,0,29:47
1,Alex Stalock,G,2012-2013,SJS,2,0,0,0,--,1,13,2,2.87,11,.846,0,41:49
2,Alex Stalock,G,2013-2014,SJS,24,18,12,5,--,2,571,39,1.87,532,.932,2,"1,251:43"
3,Alex Stalock,G,2014-2015,SJS,22,19,8,9,--,2,553,54,2.62,499,.902,2,"1,236:30"
4,Alex Stalock,G,2015-2016,SJS,13,9,3,5,--,2,285,33,2.94,252,.884,0,674:08
5,Alex Stalock,G,2016-2017,MIN,2,2,1,1,--,0,54,3,1.51,51,.944,0,118:55
6,Alex Stalock,G,2017-2018,MIN,28,23,10,10,0,4,787,71,2.85,716,.910,1,"1,495:16"
7,Alex Stalock,G,2018-2019,MIN,21,16,6,8,0,3,525,53,2.99,472,.899,0,"1,065:06"
8,Alex Stalock,G,2019-2020,MIN,38,36,20,11,0,4,"1,082",97,2.67,985,.910,4,"2,177:21"
9,Alex Stalock,G,2021-2022,SJS,1,1,0,1,0,0,28,6,7.81,22,.786,0,46:07
10,Alex Stalock,G,2022-2023,CHI,8,7,4,2,0,1,216,18,2.78,198,.917,0,388:12
