,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Connor Murphy,D,2013-2014,PHX,30,1,7,8,5,10,0,0,0,0,1,0,30,3.33,0
1,Connor Murphy,D,2014-2015,ARI,73,4,3,7,-27,42,0,0,0,0,0,0,72,5.56,0
2,Connor Murphy,D,2015-2016,ARI,78,6,11,17,5,48,1,3,0,0,1,0,101,5.94,0
3,Connor Murphy,D,2016-2017,ARI,77,2,15,17,-13,45,0,0,1,1,1,1,81,2.47,0
4,Connor Murphy,D,2017-2018,CHI,76,2,12,14,-3,34,0,0,0,0,0,0,109,1.83,0
5,Connor Murphy,D,2018-2019,CHI,52,5,8,13,12,40,0,0,0,0,1,0,84,5.95,0
6,Connor Murphy,D,2019-2020,CHI,58,5,14,19,2,27,0,0,0,1,0,0,117,4.3,0
7,Connor Murphy,D,2020-2021,CHI,50,3,12,15,1,35,1,1,0,1,1,0,78,3.8,0
8,Connor Murphy,D,2021-2022,CHI,57,4,6,10,-14,47,0,0,0,0,1,0,71,5.6,0
9,Connor Murphy,D,2022-2023,CHI,32,3,2,5,0,25,0,0,1,1,0,0,37,8.1,0
