,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jake McCabe,D,2013-2014,BUF,7,0,1,1,-3,15,0,0,0,0,0,0,1,0,0
1,Jake McCabe,D,2014-2015,BUF,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0
2,Jake McCabe,D,2015-2016,BUF,77,4,10,14,6,51,0,0,0,0,0,0,62,6.45,0
3,Jake McCabe,D,2016-2017,BUF,76,3,17,20,-7,26,1,4,0,0,1,0,79,3.8,0
4,Jake McCabe,D,2017-2018,BUF,53,3,9,12,-11,26,1,1,0,0,0,0,53,5.66,0
5,Jake McCabe,D,2018-2019,BUF,59,4,10,14,-4,35,0,0,1,1,0,0,64,6.25,0
6,Jake McCabe,D,2019-2020,BUF,66,3,10,13,-11,41,0,0,1,1,1,0,75,4,0
7,Jake McCabe,D,2020-2021,BUF,13,1,2,3,2,9,0,0,0,0,0,0,15,6.7,0
8,Jake McCabe,D,2021-2022,CHI,75,4,18,22,-27,33,0,0,0,0,0,0,80,5,0
9,Jake McCabe,D,2022-2023,CHI,29,1,8,9,2,10,0,0,0,0,0,0,26,3.8,0
