,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jarred Tinordi,D,2012-2013,MTL,8,0,2,2,5,2,0,0,0,0,0,0,5,0,0
1,Jarred Tinordi,D,2013-2014,MTL,22,0,2,2,-2,40,0,0,0,0,0,0,10,0,0
2,Jarred Tinordi,D,2014-2015,MTL,13,0,2,2,-5,19,0,0,0,0,0,0,5,0,0
3,Jarred Tinordi,D,2015-2016,MTL,3,0,0,0,-3,5,0,0,0,0,0,0,0,0,0
4,Jarred Tinordi,D,2015-2016,ARI,7,0,0,0,-2,12,0,0,0,0,0,0,3,0,0
5,Jarred Tinordi,D,2019-2020,NSH,28,1,4,5,-1,34,0,0,0,1,0,0,20,5,0
6,Jarred Tinordi,D,2020-2021,NSH,7,0,0,0,-1,4,0,0,0,0,0,0,8,0,0
7,Jarred Tinordi,D,2020-2021,BOS,14,0,1,1,-5,7,0,0,0,0,0,0,22,0,0
8,Jarred Tinordi,D,2021-2022,NYR,7,1,0,1,-5,7,0,0,0,0,1,0,5,20,0
9,Jarred Tinordi,D,2022-2023,CHI,25,2,3,5,-4,15,0,0,0,0,1,0,17,11.8,0
