,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jonathan Toews,C,2007-2008,CHI,64,24,30,54,11,44,7,22,0,2,4,1,144,16.67,53.24
1,Jonathan Toews,C,2008-2009,CHI,82,34,35,69,12,51,12,22,0,0,7,0,195,17.44,54.7
2,Jonathan Toews,C,2009-2010,CHI,76,25,43,68,22,47,9,22,1,4,3,0,202,12.38,57.34
3,Jonathan Toews,C,2010-2011,CHI,80,32,44,76,25,26,10,25,1,2,8,1,233,13.73,56.68
4,Jonathan Toews,C,2011-2012,CHI,59,29,28,57,17,28,5,12,1,3,4,0,185,15.68,59.37
5,Jonathan Toews,C,2012-2013,CHI,47,23,25,48,28,27,2,6,2,3,5,0,143,16.08,59.91
6,Jonathan Toews,C,2013-2014,CHI,76,28,40,68,26,34,5,15,3,5,5,0,193,14.51,57.25
7,Jonathan Toews,C,2014-2015,CHI,81,28,38,66,30,36,6,17,2,3,7,1,192,14.58,56.54
8,Jonathan Toews,C,2015-2016,CHI,80,28,30,58,16,62,6,9,4,7,8,5,179,15.64,58.55
9,Jonathan Toews,C,2016-2017,CHI,72,21,37,58,7,35,6,17,0,0,5,1,199,10.55,54.9
10,Jonathan Toews,C,2017-2018,CHI,74,20,32,52,-1,47,2,12,0,0,2,1,211,9.48,57.95
11,Jonathan Toews,C,2018-2019,CHI,82,35,46,81,2,40,9,23,1,1,5,2,235,14.89,56.33
12,Jonathan Toews,C,2019-2020,CHI,70,18,42,60,-2,48,1,8,1,1,3,3,172,10.5,57.3
13,Jonathan Toews,C,2021-2022,CHI,71,12,25,37,-14,39,4,7,1,1,2,0,125,9.6,58.98
14,Jonathan Toews,C,2022-2023,CHI,31,11,9,20,-15,33,7,9,0,0,1,1,59,18.6,65.58
