,Name,Position,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Overtime Losses,Shots Against,Goals Against,Goals Against Average,Saves,Save Percentage,Shutouts,Minutes
0,Petr Mrazek,G,2012-2013,DET,2,2,1,1,--,0,51,4,2.01,47,.922,0,119:09
1,Petr Mrazek,G,2013-2014,DET,9,6,2,4,--,0,178,13,1.74,165,.927,2,448:38
2,Petr Mrazek,G,2014-2015,DET,29,26,16,9,--,2,768,63,2.38,705,.918,3,"1,585:02"
3,Petr Mrazek,G,2015-2016,DET,54,49,27,16,--,6,"1,448",115,2.33,"1,333",.921,4,"2,960:35"
4,Petr Mrazek,G,2016-2017,DET,50,44,18,21,--,9,"1,462",145,3.04,"1,317",.901,1,"2,857:31"
5,Petr Mrazek,G,2017-2018,DET,22,18,8,7,0,3,630,57,2.89,573,.910,3,"1,183:31"
6,Petr Mrazek,G,2017-2018,PHI,17,15,6,6,0,3,450,49,3.22,401,.891,1,913:11
7,Petr Mrazek,G,2018-2019,CAR,40,40,23,14,0,3,"1,104",95,2.39,"1,009",.914,4,"2,386:51"
8,Petr Mrazek,G,2019-2020,CAR,40,38,21,16,0,2,"1,091",104,2.69,987,.905,3,"2,320:59"
9,Petr Mrazek,G,2020-2021,CAR,12,12,6,2,0,3,298,23,2.06,275,.923,3,670:59
10,Petr Mrazek,G,2021-2022,TOR,20,18,12,6,0,0,520,58,3.34,462,.888,0,"1,042:07"
11,Petr Mrazek,G,2022-2023,CHI,12,12,2,8,0,1,381,48,4.23,333,.874,0,681:31
