,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Seth Jones,D,2013-2014,NSH,77,6,19,25,-23,24,2,9,0,0,2,1,100,6,0
1,Seth Jones,D,2014-2015,NSH,82,8,19,27,3,20,2,11,1,1,0,0,123,6.5,0
2,Seth Jones,D,2015-2016,NSH,40,1,10,11,-5,10,0,4,0,0,0,0,74,1.35,0
3,Seth Jones,D,2015-2016,CBJ,41,2,18,20,-9,12,1,9,0,1,0,0,83,2.41,0
4,Seth Jones,D,2016-2017,CBJ,75,12,30,42,6,24,1,7,0,0,3,3,152,7.89,0
5,Seth Jones,D,2017-2018,CBJ,78,16,41,57,10,30,7,24,0,0,4,1,249,6.43,0
6,Seth Jones,D,2018-2019,CBJ,75,9,37,46,1,28,0,10,0,3,4,3,184,4.89,0
7,Seth Jones,D,2019-2020,CBJ,56,6,24,30,10,20,2,9,0,1,0,0,126,4.8,0
8,Seth Jones,D,2020-2021,CBJ,56,5,23,28,-18,26,2,8,0,0,1,1,141,3.5,0
9,Seth Jones,D,2021-2022,CHI,78,5,46,51,-37,28,0,19,0,1,0,0,194,2.6,0
10,Seth Jones,D,2022-2023,CHI,22,1,8,9,-21,12,0,5,0,1,0,0,62,1.6,0
