,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Joe Pavelski,C,2006-2007,SJS,46,14,14,28,4,18,5,11,0,0,3,0,111,12.61,48.59
1,Joe Pavelski,C,2007-2008,SJS,82,19,21,40,1,28,8,18,1,1,4,0,207,9.18,53.49
2,Joe Pavelski,C,2008-2009,SJS,80,25,34,59,5,46,8,23,3,4,3,0,266,9.4,56.28
3,Joe Pavelski,C,2009-2010,SJS,67,25,26,51,1,26,3,13,1,2,5,0,228,10.96,58.1
4,Joe Pavelski,C,2010-2011,SJS,74,20,46,66,10,24,11,28,1,3,5,0,282,7.09,54.31
5,Joe Pavelski,C,2011-2012,SJS,82,31,30,61,18,31,8,18,1,1,2,0,269,11.52,58.68
6,Joe Pavelski,C,2012-2013,SJS,48,16,15,31,2,10,5,11,0,1,5,0,130,12.31,51.82
7,Joe Pavelski,C,2013-2014,SJS,82,41,38,79,23,32,16,31,1,2,3,0,225,18.22,55.97
8,Joe Pavelski,C,2014-2015,SJS,82,37,33,70,12,29,19,31,0,0,5,0,261,14.18,55.97
9,Joe Pavelski,C,2015-2016,SJS,82,38,40,78,25,30,12,28,0,0,11,1,224,16.96,55.01
10,Joe Pavelski,C,2016-2017,SJS,81,29,39,68,11,34,7,22,1,1,7,0,233,12.45,52.45
11,Joe Pavelski,C,2017-2018,SJS,82,22,44,66,0,41,7,23,0,0,1,0,224,9.82,54.88
12,Joe Pavelski,C,2018-2019,SJS,75,38,26,64,-4,22,12,21,1,1,6,1,188,20.21,53.19
13,Joe Pavelski,C,2019-2020,DAL,67,14,17,31,6,29,6,11,0,1,3,2,125,11.2,53.83
14,Joe Pavelski,C,2020-2021,DAL,56,25,26,51,22,16,13,21,0,0,4,0,139,18,52.01
15,Joe Pavelski,C,2021-2022,DAL,82,27,54,81,11,14,12,25,0,0,2,0,216,12.5,52.46
16,Joe Pavelski,C,2022-2023,DAL,35,11,22,33,22,4,6,12,0,0,0,0,85,12.9,52.62
