,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Cody Ceci,D,2013-2014,OTT,49,3,6,9,-5,14,0,0,0,0,2,1,82,3.66,0
1,Cody Ceci,D,2014-2015,OTT,81,5,16,21,-4,6,1,4,0,0,0,0,130,3.85,0
2,Cody Ceci,D,2015-2016,OTT,75,10,16,26,9,18,0,2,0,0,2,0,116,8.62,0
3,Cody Ceci,D,2016-2017,OTT,79,2,15,17,-11,20,0,1,0,2,0,0,143,1.4,100
4,Cody Ceci,D,2017-2018,OTT,82,5,14,19,-27,12,0,5,0,0,1,0,143,3.5,0
5,Cody Ceci,D,2018-2019,OTT,74,7,19,26,-22,18,0,1,0,0,2,0,132,5.3,0
6,Cody Ceci,D,2019-2020,TOR,56,1,7,8,7,20,0,0,0,0,1,0,48,2.1,0
7,Cody Ceci,D,2020-2021,PIT,53,4,13,17,18,10,0,0,0,0,1,0,58,6.9,0
8,Cody Ceci,D,2021-2022,EDM,78,5,23,28,8,14,0,0,0,3,0,0,102,4.9,0
9,Cody Ceci,D,2022-2023,EDM,35,1,6,7,7,12,0,0,0,0,0,0,36,2.8,0
