,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Devin Shore,C,2015-2016,DAL,3,0,0,0,2,0,0,0,0,0,0,0,1,0,0
1,Devin Shore,C,2016-2017,DAL,82,13,20,33,-4,14,1,6,0,0,0,0,115,11.3,47.02
2,Devin Shore,C,2017-2018,DAL,82,11,21,32,-30,14,2,11,1,2,1,0,123,8.94,46.32
3,Devin Shore,C,2018-2019,DAL,42,5,12,17,0,7,0,2,1,1,3,0,44,11.36,50
4,Devin Shore,C,2018-2019,ANA,34,5,7,12,-12,6,2,3,1,1,1,0,38,13.16,37.58
5,Devin Shore,C,2019-2020,ANA,39,4,6,10,-8,8,0,2,0,0,1,0,47,8.5,48.15
6,Devin Shore,C,2019-2020,CBJ,6,1,1,2,-2,0,0,0,0,0,0,0,3,33.3,42.11
7,Devin Shore,C,2020-2021,EDM,38,5,4,9,-4,6,0,0,1,1,1,0,27,18.5,52.78
8,Devin Shore,C,2021-2022,EDM,49,5,6,11,-4,10,0,0,1,1,0,0,36,13.9,47.66
9,Devin Shore,C,2022-2023,EDM,28,0,3,3,2,2,0,0,0,0,0,0,17,0,49.53
