,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Evander Kane,LW,2009-2010,ATL,66,14,12,26,2,62,0,0,1,1,3,0,127,11.02,53.85
1,Evander Kane,LW,2010-2011,ATL,73,19,24,43,-12,68,4,8,0,0,2,0,234,8.12,40.63
2,Evander Kane,LW,2011-2012,WPG,74,30,27,57,11,53,6,9,0,0,4,1,287,10.45,34.09
3,Evander Kane,LW,2012-2013,WPG,48,17,16,33,-3,80,2,4,0,0,4,1,190,8.95,39.39
4,Evander Kane,LW,2013-2014,WPG,63,19,22,41,-7,66,1,5,2,2,4,0,250,7.6,42.86
5,Evander Kane,LW,2014-2015,WPG,37,10,12,22,-1,56,4,6,1,3,1,0,126,7.94,44.78
6,Evander Kane,LW,2015-2016,BUF,65,20,15,35,-14,91,2,6,1,1,3,0,271,7.38,50
7,Evander Kane,LW,2016-2017,BUF,70,28,15,43,-17,113,3,8,0,0,5,1,260,10.77,45.08
8,Evander Kane,LW,2017-2018,BUF,61,20,20,40,-14,57,3,9,3,3,2,0,227,8.81,43.72
9,Evander Kane,LW,2017-2018,SJS,17,9,5,14,5,25,0,0,1,1,0,0,80,11.25,45.98
10,Evander Kane,LW,2018-2019,SJS,75,30,26,56,-4,153,5,11,1,2,1,0,268,11.19,43.4
11,Evander Kane,LW,2019-2020,SJS,64,26,21,47,-12,122,14,18,2,2,6,0,216,12,52.74
12,Evander Kane,LW,2020-2021,SJS,56,22,27,49,-1,42,3,7,2,4,2,1,194,11.3,40.35
13,Evander Kane,LW,2021-2022,EDM,43,22,17,39,25,60,3,4,2,3,3,0,152,14.5,45
14,Evander Kane,LW,2022-2023,EDM,14,5,8,13,4,16,0,2,0,0,0,0,50,10,27.27
