,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Ryan Murray,D,2013-2014,CBJ,66,4,17,21,4,10,3,7,0,1,0,0,62,6.45,0
1,Ryan Murray,D,2014-2015,CBJ,12,1,2,3,1,8,1,1,0,0,0,0,8,12.5,0
2,Ryan Murray,D,2015-2016,CBJ,82,4,21,25,-10,40,1,11,0,0,0,0,90,4.44,0
3,Ryan Murray,D,2016-2017,CBJ,60,2,9,11,3,24,0,1,0,1,0,0,52,3.85,0
4,Ryan Murray,D,2017-2018,CBJ,44,1,11,12,4,8,0,0,0,0,0,0,34,2.94,0
5,Ryan Murray,D,2018-2019,CBJ,56,1,28,29,20,10,0,1,0,0,0,0,71,1.41,0
6,Ryan Murray,D,2019-2020,CBJ,27,2,7,9,-9,4,0,2,0,0,0,0,32,6.3,0
7,Ryan Murray,D,2020-2021,NJD,48,0,14,14,3,8,0,0,0,0,0,0,29,0,0
8,Ryan Murray,D,2021-2022,COL,37,0,4,4,-3,2,0,0,0,1,0,0,26,0,0
9,Ryan Murray,D,2022-2023,EDM,13,0,3,3,-4,4,0,0,0,0,0,0,8,0,0
