,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Ryan Nugent-Hopkins,C,2011-2012,EDM,62,18,34,52,-2,16,3,23,0,0,2,0,134,13.43,37.52
1,Ryan Nugent-Hopkins,C,2012-2013,EDM,40,4,20,24,3,8,2,11,0,0,0,0,78,5.13,41.02
2,Ryan Nugent-Hopkins,C,2013-2014,EDM,80,19,37,56,-12,26,6,20,0,0,4,1,178,10.67,42.42
3,Ryan Nugent-Hopkins,C,2014-2015,EDM,76,24,32,56,-12,25,2,14,0,1,2,1,189,12.7,45.72
4,Ryan Nugent-Hopkins,C,2015-2016,EDM,55,12,22,34,-9,18,4,11,0,0,1,0,108,11.11,44.84
5,Ryan Nugent-Hopkins,C,2016-2017,EDM,82,18,25,43,-10,29,5,11,0,0,4,1,200,9,43.85
6,Ryan Nugent-Hopkins,C,2017-2018,EDM,62,24,24,48,10,20,4,9,2,3,2,1,151,15.89,48.76
7,Ryan Nugent-Hopkins,C,2018-2019,EDM,82,28,41,69,-13,26,8,26,1,3,3,0,208,13.46,45.12
8,Ryan Nugent-Hopkins,C,2019-2020,EDM,65,22,39,61,1,33,7,24,0,0,4,0,172,12.8,50.74
9,Ryan Nugent-Hopkins,C,2020-2021,EDM,52,16,19,35,-4,22,9,20,0,0,2,0,135,11.9,45.63
10,Ryan Nugent-Hopkins,C,2021-2022,EDM,63,11,39,50,3,16,1,23,3,5,1,0,154,7.1,40.73
11,Ryan Nugent-Hopkins,C,2022-2023,EDM,35,18,23,41,-4,20,6,22,0,1,2,0,88,20.5,45.68
