,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Tyson Barrie,D,2011-2012,COL,10,0,0,0,-2,0,0,0,0,0,0,0,15,0,0
1,Tyson Barrie,D,2012-2013,COL,32,2,11,13,-11,10,1,5,0,0,1,1,58,3.45,0
2,Tyson Barrie,D,2013-2014,COL,64,13,25,38,17,20,4,10,0,0,5,3,101,12.87,0
3,Tyson Barrie,D,2014-2015,COL,80,12,41,53,5,26,2,16,0,0,0,0,139,8.63,0
4,Tyson Barrie,D,2015-2016,COL,78,13,36,49,-16,31,3,21,1,2,5,0,172,7.56,0
5,Tyson Barrie,D,2016-2017,COL,74,7,31,38,-34,18,1,10,0,0,2,0,182,3.85,0
6,Tyson Barrie,D,2017-2018,COL,68,14,43,57,-15,22,7,30,0,0,3,0,178,7.87,0
7,Tyson Barrie,D,2018-2019,COL,78,14,45,59,-3,36,2,25,0,0,2,0,218,6.42,0
8,Tyson Barrie,D,2019-2020,TOR,70,5,34,39,-7,16,1,12,0,0,0,0,169,3,0
9,Tyson Barrie,D,2020-2021,EDM,56,8,40,48,4,10,4,23,0,0,2,0,146,5.5,0
10,Tyson Barrie,D,2021-2022,EDM,73,7,34,41,3,18,3,21,0,1,0,0,149,4.7,0
11,Tyson Barrie,D,2022-2023,EDM,35,4,23,27,2,16,2,19,0,0,0,0,67,6,0
