,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Marc Staal,D,2007-2008,NYR,80,2,8,10,2,42,0,0,0,1,0,0,78,2.56,0
1,Marc Staal,D,2008-2009,NYR,82,3,12,15,-7,64,0,1,0,1,1,0,96,3.13,0
2,Marc Staal,D,2009-2010,NYR,82,8,19,27,11,44,0,0,0,0,2,0,78,10.26,0
3,Marc Staal,D,2010-2011,NYR,77,7,22,29,8,50,4,11,2,4,2,0,116,6.03,0
4,Marc Staal,D,2011-2012,NYR,46,2,3,5,-7,16,1,2,0,1,0,0,61,3.28,0
5,Marc Staal,D,2012-2013,NYR,21,2,9,11,4,14,1,3,0,0,0,0,20,10,0
6,Marc Staal,D,2013-2014,NYR,72,3,11,14,-1,24,1,1,0,1,0,0,92,3.26,100
7,Marc Staal,D,2014-2015,NYR,80,5,15,20,18,42,0,0,0,2,0,0,97,5.15,50
8,Marc Staal,D,2015-2016,NYR,77,2,13,15,2,36,0,0,0,0,1,0,65,3.08,25
9,Marc Staal,D,2016-2017,NYR,72,3,7,10,9,34,0,0,0,1,0,0,70,4.29,0
10,Marc Staal,D,2017-2018,NYR,72,1,7,8,11,18,0,0,0,0,0,0,68,1.47,0
11,Marc Staal,D,2018-2019,NYR,79,3,10,13,-9,32,0,0,0,0,0,0,84,3.57,0
12,Marc Staal,D,2019-2020,NYR,52,2,9,11,5,16,0,0,0,0,0,0,46,4.3,0
13,Marc Staal,D,2020-2021,DET,56,3,7,10,-5,20,0,0,0,0,0,0,53,5.7,0
14,Marc Staal,D,2021-2022,DET,71,3,13,16,-1,28,0,0,0,0,1,0,76,3.9,0
15,Marc Staal,D,2022-2023,FLA,35,0,4,4,-3,8,0,0,0,0,0,0,24,0,0
