,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Nick Cousins,C,2014-2015,PHI,11,0,0,0,1,2,0,0,0,0,0,0,6,0,44.23
1,Nick Cousins,C,2015-2016,PHI,36,6,5,11,5,4,0,2,0,0,1,0,41,14.63,45.99
2,Nick Cousins,C,2016-2017,PHI,60,6,10,16,-6,31,1,2,0,0,0,0,99,6.06,41.01
3,Nick Cousins,C,2017-2018,ARI,71,12,7,19,-7,31,1,1,0,0,1,1,119,10.08,37.5
4,Nick Cousins,C,2018-2019,ARI,81,7,20,27,-8,35,1,3,0,0,2,0,144,4.86,46.73
5,Nick Cousins,C,2019-2020,MTL,58,9,13,22,1,33,2,4,0,0,0,0,105,8.6,37.84
6,Nick Cousins,C,2019-2020,VGK,7,1,2,3,-1,2,1,1,0,0,0,0,10,10,58.33
7,Nick Cousins,C,2020-2021,NSH,52,5,13,18,4,41,0,4,0,0,1,0,60,8.3,52.78
8,Nick Cousins,C,2021-2022,NSH,68,9,13,22,-8,31,3,4,0,0,1,0,103,8.7,46.94
9,Nick Cousins,C,2022-2023,FLA,32,3,8,11,-1,13,0,0,0,0,2,0,49,6.1,47.92
