,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Radko Gudas,D,2012-2013,TBL,22,2,3,5,3,38,0,0,0,0,1,0,31,6.45,0
1,Radko Gudas,D,2013-2014,TBL,73,3,19,22,2,152,1,4,0,0,1,1,114,2.63,0
2,Radko Gudas,D,2014-2015,TBL,31,2,3,5,-5,34,0,0,0,0,1,0,63,3.17,0
3,Radko Gudas,D,2015-2016,PHI,76,5,9,14,-3,116,0,0,0,0,1,0,150,3.33,0
4,Radko Gudas,D,2016-2017,PHI,67,6,17,23,8,93,0,1,0,0,0,0,113,5.31,0
5,Radko Gudas,D,2017-2018,PHI,70,2,14,16,0,83,0,0,0,1,0,0,142,1.41,0
6,Radko Gudas,D,2018-2019,PHI,77,4,16,20,6,63,0,0,0,0,0,0,136,2.94,0
7,Radko Gudas,D,2019-2020,WSH,63,2,13,15,15,40,0,0,0,0,1,0,90,2.2,0
8,Radko Gudas,D,2020-2021,FLA,54,2,9,11,6,40,0,0,0,0,1,0,84,2.4,0
9,Radko Gudas,D,2021-2022,FLA,77,3,13,16,27,105,0,0,1,1,0,0,100,3,0
10,Radko Gudas,D,2022-2023,FLA,25,2,4,6,2,39,0,0,0,0,0,0,49,4.1,0
