,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Sam Bennett,C,2014-2015,CGY,1,0,1,1,-1,0,0,0,0,0,0,0,1,0,16.67
1,Sam Bennett,C,2015-2016,CGY,77,18,18,36,-11,37,3,8,0,0,2,0,136,13.24,46.11
2,Sam Bennett,C,2016-2017,CGY,81,13,13,26,-16,75,4,4,0,1,0,0,122,10.66,46.12
3,Sam Bennett,C,2017-2018,CGY,82,11,15,26,-18,59,1,3,0,0,1,0,157,7.01,54.34
4,Sam Bennett,C,2018-2019,CGY,71,13,14,27,-6,93,4,6,0,0,2,0,115,11.3,55.56
5,Sam Bennett,C,2019-2020,CGY,52,8,4,12,-1,36,0,1,0,0,0,0,82,9.8,51.74
6,Sam Bennett,C,2020-2021,CGY,38,4,8,12,-14,19,0,0,0,0,1,0,67,6,48.59
7,Sam Bennett,C,2020-2021,FLA,10,6,9,15,12,33,1,3,0,0,3,1,39,15.4,46.22
8,Sam Bennett,C,2021-2022,FLA,71,28,21,49,27,74,5,9,0,1,7,1,241,11.6,46.86
9,Sam Bennett,C,2022-2023,FLA,35,7,16,23,-5,34,1,5,0,0,1,0,109,6.4,44.86
