,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Alexander Edler,D,2006-2007,VAN,22,1,2,3,3,6,0,0,0,0,0,0,10,10,0
1,Alexander Edler,D,2007-2008,VAN,75,8,12,20,6,42,4,10,0,0,0,0,124,6.45,100
2,Alexander Edler,D,2008-2009,VAN,80,10,27,37,11,54,5,21,0,0,1,0,145,6.9,100
3,Alexander Edler,D,2009-2010,VAN,76,5,37,42,0,40,2,19,0,0,0,0,161,3.11,0
4,Alexander Edler,D,2010-2011,VAN,51,8,25,33,13,24,5,17,0,0,1,0,121,6.61,0
5,Alexander Edler,D,2011-2012,VAN,82,11,38,49,0,34,5,22,1,1,0,0,228,4.82,0
6,Alexander Edler,D,2012-2013,VAN,45,8,14,22,-5,37,5,10,0,0,0,0,113,7.08,100
7,Alexander Edler,D,2013-2014,VAN,63,7,15,22,-39,50,4,12,0,0,0,0,178,3.93,66.67
8,Alexander Edler,D,2014-2015,VAN,74,8,23,31,13,54,5,14,0,0,2,1,175,4.57,0
9,Alexander Edler,D,2015-2016,VAN,52,6,14,20,-8,46,3,9,0,0,0,0,111,5.41,0
10,Alexander Edler,D,2016-2017,VAN,68,6,15,21,-20,36,2,4,0,0,0,0,138,4.35,66.67
11,Alexander Edler,D,2017-2018,VAN,70,6,28,34,-18,68,1,15,0,0,2,1,172,3.49,50
12,Alexander Edler,D,2018-2019,VAN,56,10,24,34,3,54,4,17,0,1,2,2,128,7.81,0
13,Alexander Edler,D,2019-2020,VAN,59,5,28,33,13,62,1,7,0,0,1,0,118,4.2,0
14,Alexander Edler,D,2020-2021,VAN,52,0,8,8,-8,58,0,0,0,0,0,0,99,0,0
15,Alexander Edler,D,2021-2022,LAK,41,3,16,19,18,34,0,0,0,1,1,0,54,5.6,0
16,Alexander Edler,D,2022-2023,LAK,31,1,5,6,-2,20,0,0,0,0,1,0,32,3.1,0
