,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Drew Doughty,D,2008-2009,LAK,81,6,21,27,-17,56,3,16,0,0,1,0,126,4.76,0
1,Drew Doughty,D,2009-2010,LAK,82,16,43,59,20,54,9,31,0,0,5,1,142,11.27,0
2,Drew Doughty,D,2010-2011,LAK,76,11,29,40,13,68,5,15,0,0,3,0,139,7.91,0
3,Drew Doughty,D,2011-2012,LAK,77,10,26,36,-2,69,3,13,0,0,3,1,168,5.95,0
4,Drew Doughty,D,2012-2013,LAK,48,6,16,22,4,36,3,10,0,0,0,0,114,5.26,0
5,Drew Doughty,D,2013-2014,LAK,78,10,27,37,17,64,6,16,0,1,2,0,177,5.65,0
6,Drew Doughty,D,2014-2015,LAK,82,7,39,46,3,56,1,17,0,1,2,0,219,3.2,0
7,Drew Doughty,D,2015-2016,LAK,82,14,37,51,24,52,9,24,1,2,3,0,197,7.11,0
8,Drew Doughty,D,2016-2017,LAK,82,12,32,44,8,46,5,19,0,1,1,1,181,6.63,100
9,Drew Doughty,D,2017-2018,LAK,82,10,50,60,23,54,3,20,1,1,4,1,205,4.88,0
10,Drew Doughty,D,2018-2019,LAK,82,8,37,45,-34,44,7,24,0,1,1,1,154,5.19,0
11,Drew Doughty,D,2019-2020,LAK,67,7,28,35,-16,36,5,14,0,1,2,2,141,5,0
12,Drew Doughty,D,2020-2021,LAK,56,8,26,34,-14,26,6,18,0,1,0,0,101,7.9,0
13,Drew Doughty,D,2021-2022,LAK,39,7,24,31,4,30,4,13,0,0,1,0,99,7.1,0
14,Drew Doughty,D,2022-2023,LAK,36,2,18,20,3,22,2,10,0,0,0,0,67,3,0
