,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Phillip Danault,C,2014-2015,CHI,2,0,0,0,0,0,0,0,0,0,0,0,2,0,30
1,Phillip Danault,C,2015-2016,CHI,30,1,4,5,-3,6,0,0,0,0,1,0,48,2.08,44.17
2,Phillip Danault,C,2015-2016,MTL,21,3,2,5,-2,8,0,0,0,0,0,0,24,12.5,56
3,Phillip Danault,C,2016-2017,MTL,82,13,27,40,5,35,0,2,0,1,3,1,133,9.77,51.7
4,Phillip Danault,C,2017-2018,MTL,52,8,17,25,0,34,0,2,1,1,2,0,94,8.51,52.78
5,Phillip Danault,C,2018-2019,MTL,81,12,41,53,17,39,0,4,0,2,1,0,132,9.09,55.54
6,Phillip Danault,C,2019-2020,MTL,71,13,34,47,18,32,1,4,0,0,1,0,131,9.9,54.49
7,Phillip Danault,C,2020-2021,MTL,53,5,19,24,9,24,0,0,0,1,0,0,73,6.8,52.48
8,Phillip Danault,C,2021-2022,LAK,79,27,24,51,14,38,2,4,0,3,5,0,194,13.9,53.57
9,Phillip Danault,C,2022-2023,LAK,37,9,15,24,-4,22,2,9,0,1,1,1,73,12.3,52.36
