,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Jonas Brodin,D,2012-2013,MIN,45,2,9,11,3,10,1,2,0,0,0,0,51,3.92,0
1,Jonas Brodin,D,2013-2014,MIN,79,8,11,19,0,22,3,7,0,0,0,0,74,10.81,0
2,Jonas Brodin,D,2014-2015,MIN,71,3,14,17,21,8,0,2,0,1,1,0,95,3.16,0
3,Jonas Brodin,D,2015-2016,MIN,68,2,5,7,-5,20,0,0,0,0,0,0,58,3.45,0
4,Jonas Brodin,D,2016-2017,MIN,68,3,22,25,5,20,2,7,0,0,2,0,85,3.53,0
5,Jonas Brodin,D,2017-2018,MIN,73,6,15,21,23,30,0,3,0,0,1,0,77,7.79,0
6,Jonas Brodin,D,2018-2019,MIN,82,4,14,18,-15,30,0,1,1,1,2,0,111,3.6,0
7,Jonas Brodin,D,2019-2020,MIN,69,2,26,28,15,24,0,1,0,2,0,0,103,1.9,0
8,Jonas Brodin,D,2020-2021,MIN,53,9,14,23,2,18,1,2,0,0,2,1,79,11.4,0
9,Jonas Brodin,D,2021-2022,MIN,73,5,25,30,9,18,1,7,0,1,1,0,126,4,0
10,Jonas Brodin,D,2022-2023,MIN,27,0,4,4,5,14,0,0,0,1,0,0,37,0,0
