,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Marcus Foligno,LW,2011-2012,BUF,14,6,7,13,6,9,2,3,0,0,1,0,23,26.09,0
1,Marcus Foligno,LW,2012-2013,BUF,47,5,13,18,-4,41,1,4,0,1,0,0,55,9.09,60
2,Marcus Foligno,LW,2013-2014,BUF,74,7,12,19,-17,82,0,1,1,1,3,0,79,8.86,48.5
3,Marcus Foligno,LW,2014-2015,BUF,57,8,12,20,-5,50,0,1,0,1,0,0,66,12.12,43.18
4,Marcus Foligno,LW,2015-2016,BUF,75,10,13,23,4,79,0,2,2,2,2,0,81,12.35,25
5,Marcus Foligno,LW,2016-2017,BUF,80,13,10,23,-1,73,0,0,1,1,0,0,97,13.4,20
6,Marcus Foligno,LW,2017-2018,MIN,77,8,15,23,2,72,1,2,0,0,2,0,79,10.13,47.37
7,Marcus Foligno,LW,2018-2019,MIN,82,7,12,19,-1,55,0,1,0,1,0,0,91,7.69,46.43
8,Marcus Foligno,LW,2019-2020,MIN,59,11,14,25,8,30,0,0,0,0,0,0,86,12.8,37.5
9,Marcus Foligno,LW,2020-2021,MIN,39,11,15,26,19,49,0,0,1,1,2,0,40,27.5,18.18
10,Marcus Foligno,LW,2021-2022,MIN,74,23,19,42,25,112,5,7,0,0,3,1,98,23.5,60
11,Marcus Foligno,LW,2022-2023,MIN,27,3,7,10,-3,46,0,2,0,0,0,0,36,8.3,40
