,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Matt Dumba,D,2013-2014,MIN,13,1,1,2,-5,2,1,2,0,0,0,0,12,8.33,0
1,Matt Dumba,D,2014-2015,MIN,58,8,8,16,13,23,2,6,0,0,2,1,86,9.3,0
2,Matt Dumba,D,2015-2016,MIN,81,10,16,26,1,38,6,12,0,0,3,0,152,6.58,0
3,Matt Dumba,D,2016-2017,MIN,76,11,23,34,15,59,6,12,0,1,1,1,131,8.4,0
4,Matt Dumba,D,2017-2018,MIN,82,14,36,50,15,41,2,12,0,1,4,2,176,7.95,100
5,Matt Dumba,D,2018-2019,MIN,32,12,10,22,-5,21,6,12,0,0,1,0,93,12.9,0
6,Matt Dumba,D,2019-2020,MIN,69,6,18,24,-7,41,1,8,0,1,1,1,167,3.6,0
7,Matt Dumba,D,2020-2021,MIN,51,6,15,21,1,46,1,5,0,0,1,1,89,6.7,0
8,Matt Dumba,D,2021-2022,MIN,57,7,20,27,9,47,1,5,0,0,1,0,116,6,0
9,Matt Dumba,D,2022-2023,MIN,33,3,6,9,-1,38,0,0,0,0,2,0,45,6.7,0
