,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Brendan Gallagher,RW,2012-2013,MTL,44,15,13,28,10,33,3,4,0,0,3,0,117,12.82,32
1,Brendan Gallagher,RW,2013-2014,MTL,81,19,22,41,4,73,8,9,0,0,0,0,211,9,36.72
2,Brendan Gallagher,RW,2014-2015,MTL,82,24,23,47,18,31,3,8,0,0,6,0,254,9.45,43.43
3,Brendan Gallagher,RW,2015-2016,MTL,53,19,21,40,13,24,7,10,0,0,0,0,173,10.98,41.38
4,Brendan Gallagher,RW,2016-2017,MTL,64,10,19,29,7,39,1,3,0,0,2,0,187,5.35,40.54
5,Brendan Gallagher,RW,2017-2018,MTL,82,31,23,54,-13,34,8,17,1,1,4,0,278,11.15,46.7
6,Brendan Gallagher,RW,2018-2019,MTL,82,33,19,52,10,49,4,7,0,0,4,0,302,10.93,45.1
7,Brendan Gallagher,RW,2019-2020,MTL,59,22,21,43,9,29,1,5,0,0,1,0,226,9.7,41.38
8,Brendan Gallagher,RW,2020-2021,MTL,35,14,9,23,10,16,3,3,0,0,2,0,106,13.2,54.76
9,Brendan Gallagher,RW,2021-2022,MTL,56,7,17,24,-7,69,5,7,0,0,0,0,142,4.9,37.14
10,Brendan Gallagher,RW,2022-2023,MTL,22,3,5,8,-3,10,0,2,0,0,1,0,51,5.9,36.36
