,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,David Savard,D,2011-2012,CBJ,31,2,8,10,0,16,1,4,0,0,0,0,34,5.88,0
1,David Savard,D,2012-2013,CBJ,4,0,0,0,-3,0,0,0,0,0,0,0,1,0,0
2,David Savard,D,2013-2014,CBJ,70,5,10,15,2,28,1,4,0,0,1,0,63,7.94,100
3,David Savard,D,2014-2015,CBJ,82,11,25,36,0,71,3,10,0,0,3,0,112,9.82,100
4,David Savard,D,2015-2016,CBJ,65,4,21,25,-7,45,1,5,0,1,0,0,122,3.28,0
5,David Savard,D,2016-2017,CBJ,74,6,17,23,33,44,0,0,0,2,0,0,135,4.44,0
6,David Savard,D,2017-2018,CBJ,81,4,12,16,2,32,0,0,0,1,0,0,145,2.76,0
7,David Savard,D,2018-2019,CBJ,82,8,16,24,19,36,0,0,0,0,1,0,124,6.45,0
8,David Savard,D,2019-2020,CBJ,68,0,11,11,-3,35,0,2,0,0,0,0,97,0,0
9,David Savard,D,2020-2021,CBJ,40,1,5,6,-19,24,0,0,0,1,1,0,48,2.1,0
10,David Savard,D,2020-2021,TBL,14,0,0,0,-8,0,0,0,0,0,0,0,21,0,0
11,David Savard,D,2021-2022,MTL,62,3,14,17,-22,36,0,0,0,1,0,0,66,4.5,0
12,David Savard,D,2022-2023,MTL,24,1,7,8,-4,18,0,0,0,0,1,0,24,4.2,0
