,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Sean Monahan,C,2013-2014,CGY,75,22,12,34,-20,8,3,7,0,0,2,1,140,15.71,45.95
1,Sean Monahan,C,2014-2015,CGY,81,31,31,62,8,12,10,19,1,2,8,3,191,16.23,49.29
2,Sean Monahan,C,2015-2016,CGY,81,27,36,63,-6,18,7,20,0,0,5,1,197,13.71,51.01
3,Sean Monahan,C,2016-2017,CGY,82,27,31,58,-1,20,8,17,1,1,4,2,199,13.57,51.45
4,Sean Monahan,C,2017-2018,CGY,74,31,33,64,3,24,9,19,0,0,11,3,202,15.35,50.39
5,Sean Monahan,C,2018-2019,CGY,78,34,48,82,7,12,12,23,0,0,5,0,211,16.11,51.13
6,Sean Monahan,C,2019-2020,CGY,70,22,26,48,-16,25,8,16,0,0,5,1,166,13.3,52.59
7,Sean Monahan,C,2020-2021,CGY,50,10,18,28,-6,10,4,9,0,0,5,0,98,10.2,48.99
8,Sean Monahan,C,2021-2022,CGY,65,8,15,23,-15,24,5,13,0,0,2,0,111,7.2,53.15
9,Sean Monahan,C,2022-2023,MTL,25,6,11,17,-5,16,1,4,0,0,0,0,55,10.9,55.14
