,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Dougie Hamilton,D,2012-2013,BOS,42,5,11,16,4,14,2,4,0,0,0,0,83,6.02,0
1,Dougie Hamilton,D,2013-2014,BOS,64,7,18,25,22,40,2,6,0,0,1,0,114,6.14,0
2,Dougie Hamilton,D,2014-2015,BOS,72,10,32,42,-3,41,5,15,0,0,2,1,188,5.32,0
3,Dougie Hamilton,D,2015-2016,CGY,82,12,31,43,-14,46,5,16,0,0,3,0,190,6.32,0
4,Dougie Hamilton,D,2016-2017,CGY,81,13,37,50,12,64,2,14,0,1,5,1,222,5.86,0
5,Dougie Hamilton,D,2017-2018,CGY,82,17,27,44,1,64,6,12,0,0,4,1,270,6.3,33.33
6,Dougie Hamilton,D,2018-2019,CAR,82,18,21,39,0,54,2,7,0,0,2,0,259,6.95,0
7,Dougie Hamilton,D,2019-2020,CAR,47,14,26,40,30,32,2,12,0,1,3,2,170,8.2,0
8,Dougie Hamilton,D,2020-2021,CAR,55,10,32,42,20,35,2,18,1,1,2,1,180,5.6,0
9,Dougie Hamilton,D,2021-2022,NJD,62,9,21,30,-19,34,2,8,0,0,1,1,197,4.6,0
10,Dougie Hamilton,D,2022-2023,NJD,34,7,21,28,10,22,2,13,0,0,3,0,118,5.9,0
