,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Erik Haula,LW,2013-2014,MIN,46,6,9,15,14,29,0,0,1,1,1,0,56,10.71,46.26
1,Erik Haula,LW,2014-2015,MIN,72,7,7,14,-7,32,1,1,0,1,1,0,92,7.61,45.38
2,Erik Haula,LW,2015-2016,MIN,76,14,20,34,21,24,0,1,2,4,2,0,99,14.14,53.27
3,Erik Haula,LW,2016-2017,MIN,72,15,11,26,5,28,1,1,0,0,4,0,134,11.19,53.87
4,Erik Haula,LW,2017-2018,VGK,76,29,26,55,-16,37,11,19,0,0,4,0,175,16.57,50.52
5,Erik Haula,LW,2018-2019,VGK,15,2,5,7,1,10,0,1,0,0,0,0,26,7.69,51.32
6,Erik Haula,LW,2019-2020,CAR,41,12,10,22,1,20,4,8,0,0,2,0,78,15.4,53.88
7,Erik Haula,LW,2019-2020,FLA,7,0,2,2,0,2,0,0,0,0,0,0,14,0,55.81
8,Erik Haula,LW,2020-2021,NSH,51,9,12,21,4,14,1,3,2,2,2,1,85,10.6,55.1
9,Erik Haula,LW,2021-2022,BOS,78,18,26,44,19,47,2,4,0,0,3,0,141,12.8,53.85
10,Erik Haula,LW,2022-2023,NJD,34,2,12,14,8,29,1,3,0,0,0,0,67,3,57.47
