,Name,Position,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Overtime Losses,Shots Against,Goals Against,Goals Against Average,Saves,Save Percentage,Shutouts,Minutes
0,Jonathan Bernier,G,2007-2008,LAK,4,4,1,3,--,0,118,16,4.03,102,.864,0,238:23
1,Jonathan Bernier,G,2009-2010,LAK,3,3,3,0,--,0,94,4,1.30,90,.957,1,185:00
2,Jonathan Bernier,G,2010-2011,LAK,25,22,11,8,--,3,652,57,2.48,595,.913,3,"1,378:15"
3,Jonathan Bernier,G,2011-2012,LAK,16,13,5,6,--,2,383,35,2.36,348,.909,1,890:12
4,Jonathan Bernier,G,2012-2013,LAK,14,12,9,3,--,1,306,24,1.87,282,.922,1,768:21
5,Jonathan Bernier,G,2013-2014,TOR,55,49,26,19,--,7,"1,787",138,2.69,"1,649",.923,1,"3,083:34"
6,Jonathan Bernier,G,2014-2015,TOR,58,55,21,28,--,7,"1,735",152,2.87,"1,583",.912,2,"3,177:09"
7,Jonathan Bernier,G,2015-2016,TOR,38,36,12,21,--,3,"1,114",103,2.88,"1,011",.908,3,"2,146:46"
8,Jonathan Bernier,G,2016-2017,ANA,39,33,21,7,--,4,982,83,2.50,899,.915,2,"1,993:11"
9,Jonathan Bernier,G,2017-2018,COL,37,34,19,13,0,3,"1,092",95,2.85,997,.913,2,"2,001:23"
10,Jonathan Bernier,G,2018-2019,DET,35,30,9,18,0,5,"1,025",98,3.16,927,.904,1,"1,859:54"
11,Jonathan Bernier,G,2019-2020,DET,46,41,15,22,0,3,"1,353",126,2.95,"1,227",.907,1,"2,565:56"
12,Jonathan Bernier,G,2020-2021,DET,24,23,9,11,0,1,757,65,2.99,692,.914,0,"1,306:27"
13,Jonathan Bernier,G,2021-2022,NJD,10,8,4,4,0,1,264,26,3.06,238,.902,0,510:06
