,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Ondrej Palat,LW,2012-2013,TBL,14,2,2,4,5,0,0,0,0,0,1,0,16,12.5,0
1,Ondrej Palat,LW,2013-2014,TBL,81,23,36,59,32,20,3,11,2,4,3,0,165,13.94,13.51
2,Ondrej Palat,LW,2014-2015,TBL,75,16,47,63,31,24,3,11,1,2,5,1,139,11.51,28.57
3,Ondrej Palat,LW,2015-2016,TBL,62,16,24,40,10,20,1,7,2,3,4,1,117,13.68,25
4,Ondrej Palat,LW,2016-2017,TBL,75,17,35,52,8,39,5,15,0,0,3,0,162,10.49,26.47
5,Ondrej Palat,LW,2017-2018,TBL,56,11,24,35,16,6,4,9,1,1,0,0,109,10.09,22.58
6,Ondrej Palat,LW,2018-2019,TBL,64,8,26,34,4,20,2,8,0,0,1,0,100,8,11.76
7,Ondrej Palat,LW,2019-2020,TBL,69,17,24,41,25,22,4,8,1,1,2,0,128,13.3,33.33
8,Ondrej Palat,LW,2020-2021,TBL,55,15,31,46,1,26,7,20,0,0,6,0,111,13.5,0
9,Ondrej Palat,LW,2021-2022,TBL,77,18,31,49,15,20,1,6,0,1,5,2,143,12.6,11.11
10,Ondrej Palat,LW,2022-2023,NJD,6,3,0,3,-1,0,0,0,0,0,1,0,8,37.5,0
