,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Tomas Tatar,LW,2010-2011,DET,9,1,0,1,0,0,0,0,0,0,0,0,6,16.67,0
1,Tomas Tatar,LW,2012-2013,DET,18,4,3,7,2,4,1,1,0,0,0,0,32,12.5,100
2,Tomas Tatar,LW,2013-2014,DET,73,19,20,39,12,30,2,6,0,0,3,0,158,12.03,50
3,Tomas Tatar,LW,2014-2015,DET,82,29,27,56,6,28,9,19,0,0,7,0,211,13.74,50
4,Tomas Tatar,LW,2015-2016,DET,81,21,24,45,4,24,7,15,0,0,3,1,165,12.73,25
5,Tomas Tatar,LW,2016-2017,DET,82,25,21,46,-8,26,5,8,0,0,5,0,166,15.06,61.54
6,Tomas Tatar,LW,2017-2018,DET,62,16,12,28,-8,24,8,11,0,0,3,1,140,11.43,11.11
7,Tomas Tatar,LW,2017-2018,VGK,20,4,2,6,-11,10,1,2,0,0,1,0,34,11.76,16.67
8,Tomas Tatar,LW,2018-2019,MTL,80,25,33,58,21,34,4,8,0,0,4,0,195,12.82,25.64
9,Tomas Tatar,LW,2019-2020,MTL,68,22,39,61,5,36,8,14,0,0,1,0,162,13.6,36
10,Tomas Tatar,LW,2020-2021,MTL,50,10,20,30,0,8,2,8,0,0,1,0,82,12.2,44.44
11,Tomas Tatar,LW,2021-2022,NJD,76,15,15,30,-22,22,2,5,0,0,1,0,132,11.4,38
12,Tomas Tatar,LW,2022-2023,NJD,34,9,10,19,20,14,0,0,0,0,0,0,68,13.2,34.78
