,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Mark Borowiecki,D,2011-2012,OTT,2,0,0,0,-1,2,0,0,0,0,0,0,1,0,0
1,Mark Borowiecki,D,2012-2013,OTT,6,0,0,0,1,18,0,0,0,0,0,0,1,0,0
2,Mark Borowiecki,D,2013-2014,OTT,13,1,0,1,-2,48,0,0,0,0,0,0,6,16.67,0
3,Mark Borowiecki,D,2014-2015,OTT,63,1,10,11,15,107,0,0,0,0,0,0,30,3.33,0
4,Mark Borowiecki,D,2015-2016,OTT,63,1,1,2,-4,107,0,0,0,0,0,0,27,3.7,0
5,Mark Borowiecki,D,2016-2017,OTT,70,1,2,3,-3,154,0,0,0,0,0,0,50,2,100
6,Mark Borowiecki,D,2017-2018,OTT,52,3,8,11,-6,64,0,0,0,0,0,0,66,4.55,0
7,Mark Borowiecki,D,2018-2019,OTT,53,1,4,5,-12,89,0,0,0,0,0,0,59,1.69,0
8,Mark Borowiecki,D,2019-2020,OTT,53,7,11,18,1,58,0,0,1,1,0,0,63,11.1,0
9,Mark Borowiecki,D,2020-2021,NSH,22,0,1,1,-2,38,0,0,0,0,0,0,18,0,0
10,Mark Borowiecki,D,2021-2022,NSH,57,0,4,4,-9,151,0,0,0,0,0,0,45,0,0
11,Mark Borowiecki,D,2022-2023,NSH,4,0,0,0,0,12,0,0,0,0,0,0,1,0,0
