,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Matt Duchene,C,2009-2010,COL,81,24,31,55,1,16,10,21,1,1,2,0,180,13.33,44.03
1,Matt Duchene,C,2010-2011,COL,80,27,40,67,-8,33,3,15,0,0,2,1,202,13.37,50.4
2,Matt Duchene,C,2011-2012,COL,58,14,14,28,-11,8,5,9,0,0,2,1,132,10.61,51.15
3,Matt Duchene,C,2012-2013,COL,47,17,26,43,-12,12,2,9,0,1,3,1,132,12.88,54.65
4,Matt Duchene,C,2013-2014,COL,71,23,47,70,8,19,5,17,0,0,6,1,217,10.6,50.28
5,Matt Duchene,C,2014-2015,COL,82,21,34,55,3,16,2,7,0,0,4,0,207,10.14,52.18
6,Matt Duchene,C,2015-2016,COL,76,30,29,59,-8,24,8,15,0,0,6,0,200,15,57.92
7,Matt Duchene,C,2016-2017,COL,77,18,23,41,-34,12,3,9,1,1,3,1,160,11.25,62.57
8,Matt Duchene,C,2017-2018,COL,14,4,6,10,1,4,1,1,0,0,1,0,23,17.39,56.5
9,Matt Duchene,C,2017-2018,OTT,68,23,26,49,-23,14,8,12,0,0,2,1,167,13.77,52.34
10,Matt Duchene,C,2018-2019,OTT,50,27,31,58,-2,6,5,12,0,0,1,0,126,21.43,55.06
11,Matt Duchene,C,2018-2019,CBJ,23,4,8,12,-1,2,1,2,0,0,0,0,46,8.7,55.92
12,Matt Duchene,C,2019-2020,NSH,66,13,29,42,-4,24,5,11,0,0,1,0,136,9.6,56.12
13,Matt Duchene,C,2020-2021,NSH,34,6,7,13,-12,6,1,3,0,0,0,0,73,8.2,53.82
14,Matt Duchene,C,2021-2022,NSH,78,43,43,86,6,38,16,29,0,0,6,3,228,18.9,54.09
15,Matt Duchene,C,2022-2023,NSH,32,10,16,26,-4,26,3,6,0,0,1,0,78,12.8,53.93
