,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Mattias Ekholm,D,2011-2012,NSH,2,0,0,0,-1,0,0,0,0,0,0,0,1,0,0
1,Mattias Ekholm,D,2012-2013,NSH,1,0,0,0,-1,0,0,0,0,0,0,0,0,0,0
2,Mattias Ekholm,D,2013-2014,NSH,62,1,8,9,-8,10,0,0,0,1,0,0,58,1.72,0
3,Mattias Ekholm,D,2014-2015,NSH,80,7,11,18,12,52,1,2,0,0,1,1,86,8.14,0
4,Mattias Ekholm,D,2015-2016,NSH,82,8,27,35,14,44,1,5,1,2,3,1,114,7.02,0
5,Mattias Ekholm,D,2016-2017,NSH,82,3,20,23,4,34,0,3,0,1,1,0,120,2.5,0
6,Mattias Ekholm,D,2017-2018,NSH,81,10,24,34,25,46,5,13,1,1,1,0,135,7.41,0
7,Mattias Ekholm,D,2018-2019,NSH,80,8,36,44,27,47,2,7,0,2,3,1,146,5.48,0
8,Mattias Ekholm,D,2019-2020,NSH,68,8,25,33,-1,32,0,5,1,2,2,0,154,5.2,0
9,Mattias Ekholm,D,2020-2021,NSH,48,6,17,23,19,14,0,2,0,1,2,0,110,5.5,0
10,Mattias Ekholm,D,2021-2022,NSH,76,6,25,31,14,44,0,4,0,1,1,0,145,4.1,0
11,Mattias Ekholm,D,2022-2023,NSH,32,2,8,10,2,10,0,2,0,0,0,0,56,3.6,0
