,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Roman Josi,D,2011-2012,NSH,52,5,11,16,1,14,1,4,0,0,0,0,64,7.81,0
1,Roman Josi,D,2012-2013,NSH,48,5,13,18,-7,8,1,7,0,0,1,1,96,5.21,0
2,Roman Josi,D,2013-2014,NSH,72,13,27,40,-2,18,3,13,0,0,2,0,168,7.74,0
3,Roman Josi,D,2014-2015,NSH,81,15,40,55,15,26,3,15,0,3,4,1,201,7.46,0
4,Roman Josi,D,2015-2016,NSH,81,14,47,61,-3,43,6,24,1,2,3,1,198,7.07,0
5,Roman Josi,D,2016-2017,NSH,72,12,37,49,7,18,7,18,0,1,1,0,217,5.53,0
6,Roman Josi,D,2017-2018,NSH,75,14,39,53,24,24,7,20,0,1,3,1,253,5.53,0
7,Roman Josi,D,2018-2019,NSH,82,15,41,56,9,42,2,12,0,1,4,0,274,5.47,0
8,Roman Josi,D,2019-2020,NSH,69,16,49,65,22,41,4,23,0,0,1,0,260,6.2,0
9,Roman Josi,D,2020-2021,NSH,48,8,25,33,-11,20,1,14,0,1,3,2,141,5.7,0
10,Roman Josi,D,2021-2022,NSH,80,23,73,96,13,46,11,37,0,0,2,0,281,8.2,0
11,Roman Josi,D,2022-2023,NSH,32,7,19,26,-5,16,4,12,0,0,3,1,140,5,0
