,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Ryan McDonagh,D,2010-2011,NYR,40,1,8,9,16,14,0,0,0,2,1,0,27,3.7,0
1,Ryan McDonagh,D,2011-2012,NYR,82,7,25,32,25,44,0,2,0,0,1,1,123,5.69,50
2,Ryan McDonagh,D,2012-2013,NYR,47,4,15,19,13,22,0,1,0,1,1,0,83,4.82,0
3,Ryan McDonagh,D,2013-2014,NYR,77,14,29,43,11,36,2,13,3,4,4,1,177,7.91,0
4,Ryan McDonagh,D,2014-2015,NYR,71,8,25,33,23,26,3,12,0,3,2,0,148,5.41,0
5,Ryan McDonagh,D,2015-2016,NYR,73,9,25,34,26,22,2,9,0,1,0,0,113,7.96,100
6,Ryan McDonagh,D,2016-2017,NYR,77,6,36,42,20,37,1,15,1,1,1,0,153,3.92,0
7,Ryan McDonagh,D,2017-2018,NYR,49,2,24,26,7,20,1,9,0,0,0,0,77,2.6,0
8,Ryan McDonagh,D,2017-2018,TBL,14,2,1,3,1,0,0,0,0,1,0,0,22,9.09,0
9,Ryan McDonagh,D,2018-2019,TBL,82,9,37,46,38,34,0,3,0,3,1,0,128,7.03,0
10,Ryan McDonagh,D,2019-2020,TBL,50,1,11,12,7,19,0,0,0,1,0,0,50,2,0
11,Ryan McDonagh,D,2020-2021,TBL,50,4,8,12,13,14,0,0,0,0,0,0,85,4.7,0
12,Ryan McDonagh,D,2021-2022,TBL,71,4,22,26,15,16,0,1,0,0,0,0,85,4.7,0
13,Ryan McDonagh,D,2022-2023,NSH,25,0,7,7,6,8,0,0,0,0,0,0,22,0,0
