,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Cal Clutterbuck,RW,2007-2008,MIN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,100
1,Cal Clutterbuck,RW,2008-2009,MIN,78,11,7,18,-5,76,1,1,0,0,1,0,136,8.09,11.76
2,Cal Clutterbuck,RW,2009-2010,MIN,74,13,8,21,-8,52,1,1,2,2,1,1,136,9.56,30
3,Cal Clutterbuck,RW,2010-2011,MIN,76,19,15,34,-5,79,4,5,0,1,3,0,191,9.95,27.27
4,Cal Clutterbuck,RW,2011-2012,MIN,74,15,12,27,-4,103,3,7,4,4,2,0,161,9.32,33.33
5,Cal Clutterbuck,RW,2012-2013,MIN,42,4,6,10,-5,27,0,0,0,1,1,0,87,4.6,50
6,Cal Clutterbuck,RW,2013-2014,NYI,73,12,7,19,-9,50,0,0,3,4,1,0,172,6.98,43.75
7,Cal Clutterbuck,RW,2014-2015,NYI,76,7,9,16,1,60,0,1,2,3,4,0,124,5.65,66.67
8,Cal Clutterbuck,RW,2015-2016,NYI,77,15,8,23,7,22,0,0,2,3,5,1,80,18.75,33.33
9,Cal Clutterbuck,RW,2016-2017,NYI,66,5,15,20,2,28,0,1,0,0,1,0,115,4.35,37.5
10,Cal Clutterbuck,RW,2017-2018,NYI,76,8,10,18,-7,53,0,0,1,1,1,0,101,7.92,35
11,Cal Clutterbuck,RW,2018-2019,NYI,73,8,15,23,6,44,3,3,0,1,2,0,95,8.42,44.12
12,Cal Clutterbuck,RW,2019-2020,NYI,37,3,4,7,6,22,0,0,1,2,0,0,35,8.6,44.44
13,Cal Clutterbuck,RW,2020-2021,NYI,50,4,7,11,-5,10,0,0,1,1,1,0,50,8,0
14,Cal Clutterbuck,RW,2021-2022,NYI,59,6,9,15,-6,10,0,0,1,1,1,0,74,8.1,73.33
15,Cal Clutterbuck,RW,2022-2023,NYI,26,3,2,5,4,14,0,0,0,0,0,0,21,14.3,25
