,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Casey Cizikas,C,2011-2012,NYI,15,0,4,4,1,6,0,0,0,0,0,0,12,0,40.87
1,Casey Cizikas,C,2012-2013,NYI,45,6,9,15,0,14,0,1,0,0,1,0,45,13.33,52.17
2,Casey Cizikas,C,2013-2014,NYI,80,6,10,16,-12,30,1,2,0,2,1,0,79,7.59,48.37
3,Casey Cizikas,C,2014-2015,NYI,70,9,9,18,-2,24,0,1,2,2,2,0,90,10,52.16
4,Casey Cizikas,C,2015-2016,NYI,80,8,21,29,4,31,0,0,1,3,4,0,84,9.52,48.91
5,Casey Cizikas,C,2016-2017,NYI,59,8,17,25,9,30,0,1,0,0,1,0,82,9.76,49.65
6,Casey Cizikas,C,2017-2018,NYI,64,7,10,17,-12,23,0,0,1,1,0,0,74,9.46,53.09
7,Casey Cizikas,C,2018-2019,NYI,73,20,13,33,22,36,0,0,2,3,3,0,111,18.02,49.06
8,Casey Cizikas,C,2019-2020,NYI,48,10,4,14,12,41,0,0,3,5,1,0,67,14.9,53.49
9,Casey Cizikas,C,2020-2021,NYI,56,7,7,14,-2,27,0,0,0,0,3,0,72,9.7,53.21
10,Casey Cizikas,C,2021-2022,NYI,74,10,6,16,-3,48,0,0,1,1,3,0,91,11,55.57
11,Casey Cizikas,C,2022-2023,NYI,34,2,5,7,0,40,0,0,0,0,0,0,37,5.4,53.27
