,Name,Position,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Overtime Losses,Shots Against,Goals Against,Goals Against Average,Saves,Save Percentage,Shutouts,Minutes
0,Cory Schneider,G,2008-2009,VAN,8,5,2,4,--,1,162,20,3.38,142,.877,0,355:24
1,Cory Schneider,G,2009-2010,VAN,2,1,0,1,--,0,59,5,3.81,54,.915,0,78:42
2,Cory Schneider,G,2010-2011,VAN,25,22,16,4,--,2,714,51,2.23,663,.929,1,"1,371:47"
3,Cory Schneider,G,2011-2012,VAN,33,28,20,8,--,1,945,60,1.96,885,.937,3,"1,832:50"
4,Cory Schneider,G,2012-2013,VAN,30,30,17,9,--,4,835,61,2.11,774,.927,5,"1,733:19"
5,Cory Schneider,G,2013-2014,NJD,45,43,16,15,--,12,"1,107",88,1.97,"1,019",.921,3,"2,679:54"
6,Cory Schneider,G,2014-2015,NJD,69,68,26,31,--,9,"1,982",148,2.26,"1,834",.925,5,"3,923:55"
7,Cory Schneider,G,2015-2016,NJD,58,58,27,25,--,6,"1,597",122,2.15,"1,475",.924,4,"3,412:26"
8,Cory Schneider,G,2016-2017,NJD,60,59,20,27,--,11,"1,781",163,2.82,"1,618",.908,2,"3,472:50"
9,Cory Schneider,G,2017-2018,NJD,40,40,17,16,0,6,"1,228",114,2.93,"1,114",.907,1,"2,332:15"
10,Cory Schneider,G,2018-2019,NJD,26,23,6,13,0,4,718,70,3.06,648,.903,1,"1,371:47"
11,Cory Schneider,G,2019-2020,NJD,13,11,3,6,0,2,355,40,3.53,315,.887,1,679:16
12,Cory Schneider,G,2021-2022,NYI,1,1,1,0,0,0,30,3,3.00,27,.900,0,60:00
