,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Josh Bailey,RW,2008-2009,NYI,68,7,18,25,-14,16,3,11,0,0,0,0,74,9.46,41.14
1,Josh Bailey,RW,2009-2010,NYI,73,16,19,35,5,18,3,10,1,1,2,2,112,14.29,40.14
2,Josh Bailey,RW,2010-2011,NYI,70,11,17,28,-13,37,5,9,0,3,2,0,102,10.78,44.39
3,Josh Bailey,RW,2011-2012,NYI,80,13,19,32,-10,32,1,4,3,3,1,0,104,12.5,43.89
4,Josh Bailey,RW,2012-2013,NYI,38,11,8,19,7,6,0,2,0,0,1,0,76,14.47,46.67
5,Josh Bailey,RW,2013-2014,NYI,77,8,30,38,-8,26,2,10,0,0,1,0,98,8.16,49.56
6,Josh Bailey,RW,2014-2015,NYI,70,15,26,41,3,12,2,4,0,0,1,0,140,10.71,45.45
7,Josh Bailey,RW,2015-2016,NYI,81,12,20,32,-7,22,4,5,0,0,2,1,105,11.43,41.18
8,Josh Bailey,RW,2016-2017,NYI,82,13,43,56,5,12,3,12,0,0,1,1,173,7.51,53.33
9,Josh Bailey,RW,2017-2018,NYI,76,18,53,71,-20,17,5,31,0,0,3,1,151,11.92,22
10,Josh Bailey,RW,2018-2019,NYI,82,16,40,56,8,21,2,14,1,1,4,1,126,12.7,51.47
11,Josh Bailey,RW,2019-2020,NYI,68,14,29,43,-12,10,2,9,1,1,2,0,94,14.9,50
12,Josh Bailey,RW,2020-2021,NYI,54,8,27,35,12,4,0,9,0,0,1,0,77,10.4,43.75
13,Josh Bailey,RW,2021-2022,NYI,74,14,30,44,-7,6,2,11,0,0,1,0,87,16.1,39.09
14,Josh Bailey,RW,2022-2023,NYI,31,5,8,13,0,2,0,2,0,0,2,0,40,12.5,45
