,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Zach Parise,LW,2005-2006,NJD,81,14,18,32,-1,28,2,11,0,0,5,0,133,10.53,42.59
1,Zach Parise,LW,2006-2007,NJD,82,31,31,62,-3,30,9,22,0,0,7,0,247,12.55,44.23
2,Zach Parise,LW,2007-2008,NJD,81,32,33,65,13,25,10,23,1,1,8,2,266,12.03,48.08
3,Zach Parise,LW,2008-2009,NJD,82,45,49,94,30,24,14,30,0,3,8,3,364,12.36,44.63
4,Zach Parise,LW,2009-2010,NJD,81,38,44,82,24,32,9,26,1,1,5,1,347,10.95,37.5
5,Zach Parise,LW,2010-2011,NJD,13,3,3,6,-1,6,0,1,0,0,1,0,49,6.12,36.36
6,Zach Parise,LW,2011-2012,NJD,82,31,38,69,-5,32,7,14,3,7,3,1,293,10.58,47.62
7,Zach Parise,LW,2012-2013,MIN,48,18,20,38,2,16,7,13,0,0,4,1,182,9.89,33.33
8,Zach Parise,LW,2013-2014,MIN,67,29,27,56,10,30,14,20,1,1,5,0,245,11.84,41.67
9,Zach Parise,LW,2014-2015,MIN,74,33,29,62,21,41,11,16,0,0,3,0,259,12.74,16.67
10,Zach Parise,LW,2015-2016,MIN,70,25,28,53,-3,36,7,18,0,0,7,0,234,10.68,0
11,Zach Parise,LW,2016-2017,MIN,69,19,23,42,-3,30,6,12,0,0,4,0,194,9.79,61.54
12,Zach Parise,LW,2017-2018,MIN,42,15,9,24,0,14,2,3,0,0,4,0,119,12.61,41.67
13,Zach Parise,LW,2018-2019,MIN,74,28,33,61,-2,26,10,16,0,2,5,0,229,12.23,26.47
14,Zach Parise,LW,2019-2020,MIN,69,25,21,46,-11,8,12,18,1,1,4,0,155,16.1,53.25
15,Zach Parise,LW,2020-2021,MIN,45,7,11,18,7,6,0,2,0,0,3,0,90,7.8,41.46
16,Zach Parise,LW,2021-2022,NYI,82,15,20,35,-2,28,2,7,2,2,4,0,138,10.9,37.33
17,Zach Parise,LW,2022-2023,NYI,35,11,6,17,4,8,3,4,1,2,1,1,81,13.6,47.37
