,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Barclay Goodrow,C,2014-2015,SJS,60,4,8,12,-1,35,0,0,0,1,2,0,68,5.88,52.17
1,Barclay Goodrow,C,2015-2016,SJS,14,0,3,3,1,16,0,0,0,1,0,0,7,0,66.67
2,Barclay Goodrow,C,2016-2017,SJS,3,0,1,1,0,0,0,0,0,0,0,0,3,0,0
3,Barclay Goodrow,C,2017-2018,SJS,47,7,7,14,1,28,0,0,1,1,1,0,57,12.28,58.78
4,Barclay Goodrow,C,2018-2019,SJS,82,7,10,17,4,76,0,0,1,1,3,0,84,8.33,53.72
5,Barclay Goodrow,C,2019-2020,SJS,62,8,16,24,-8,80,0,2,0,1,2,0,94,8.5,49.21
6,Barclay Goodrow,C,2019-2020,TBL,8,0,2,2,0,17,0,0,0,0,0,0,8,0,48.84
7,Barclay Goodrow,C,2020-2021,TBL,55,6,14,20,16,52,0,0,0,0,1,0,72,8.3,50
8,Barclay Goodrow,C,2021-2022,NYR,79,13,20,33,13,69,0,0,1,4,2,0,116,11.2,49.39
9,Barclay Goodrow,C,2022-2023,NYR,35,8,10,18,1,34,0,1,0,1,1,0,45,17.8,46.72
