,Name,Position,Season,Team,Games Played,Games Started,Wins,Losses,Ties,Overtime Losses,Shots Against,Goals Against,Goals Against Average,Saves,Save Percentage,Shutouts,Minutes
0,Cam Talbot,G,2013-2014,NYR,21,19,12,6,--,1,560,33,1.64,527,.941,3,"1,210:40"
1,Cam Talbot,G,2014-2015,NYR,36,34,21,9,--,4,"1,038",77,2.21,961,.926,5,"2,094:57"
2,Cam Talbot,G,2015-2016,EDM,56,53,21,27,--,5,"1,648",137,2.55,"1,511",.917,3,"3,222:49"
3,Cam Talbot,G,2016-2017,EDM,73,73,42,22,--,8,"2,117",171,2.39,"1,946",.919,7,"4,294:00"
4,Cam Talbot,G,2017-2018,EDM,67,67,31,31,0,3,"2,036",188,3.02,"1,848",.908,1,"3,730:06"
5,Cam Talbot,G,2018-2019,EDM,31,29,10,15,0,3,888,95,3.36,793,.893,1,"1,694:34"
6,Cam Talbot,G,2018-2019,PHI,4,3,1,2,0,0,109,13,3.70,96,.881,0,210:42
7,Cam Talbot,G,2019-2020,CGY,26,22,12,10,0,1,780,63,2.63,717,.919,2,"1,434:39"
8,Cam Talbot,G,2020-2021,MIN,33,33,19,8,0,5,"1,008",86,2.63,922,.915,2,"1,961:27"
9,Cam Talbot,G,2021-2022,MIN,49,48,32,12,0,4,"1,488",132,2.76,"1,356",.911,3,"2,864:23"
10,Cam Talbot,G,2022-2023,OTT,19,17,8,8,0,1,517,46,2.71,471,.911,1,"1,017:09"
