,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Claude Giroux,RW,2007-2008,PHI,2,0,0,0,-2,0,0,0,0,0,0,0,2,0,0
1,Claude Giroux,RW,2008-2009,PHI,42,9,18,27,10,14,2,6,0,0,0,0,67,13.43,47.25
2,Claude Giroux,RW,2009-2010,PHI,82,16,31,47,-9,23,8,21,0,0,2,0,145,11.03,49.5
3,Claude Giroux,RW,2010-2011,PHI,82,25,51,76,20,47,8,19,3,7,5,0,169,14.79,50.05
4,Claude Giroux,RW,2011-2012,PHI,77,28,65,93,6,29,6,38,0,2,5,2,242,11.57,53.66
5,Claude Giroux,RW,2012-2013,PHI,48,13,35,48,-7,22,6,21,1,1,2,0,137,9.49,54.48
6,Claude Giroux,RW,2013-2014,PHI,82,28,58,86,7,46,7,37,0,0,7,1,223,12.56,52.9
7,Claude Giroux,RW,2014-2015,PHI,81,25,48,73,-3,36,14,37,0,0,4,2,279,8.96,56.6
8,Claude Giroux,RW,2015-2016,PHI,78,22,45,67,-8,53,6,27,1,2,5,2,241,9.13,57.47
9,Claude Giroux,RW,2016-2017,PHI,82,14,44,58,-15,38,5,31,0,1,3,2,199,7.04,55.89
10,Claude Giroux,RW,2017-2018,PHI,82,34,68,102,28,20,9,36,0,0,1,1,193,17.62,58.64
11,Claude Giroux,RW,2018-2019,PHI,82,22,63,85,9,24,2,23,1,1,4,1,229,9.61,57.9
12,Claude Giroux,RW,2019-2020,PHI,69,21,32,53,7,28,7,20,1,2,6,0,197,10.7,59.04
13,Claude Giroux,RW,2020-2021,PHI,54,16,27,43,-4,12,1,11,0,0,2,0,120,13.3,59.61
14,Claude Giroux,RW,2021-2022,PHI,57,18,24,42,-12,20,3,12,0,0,0,0,154,11.7,60.89
15,Claude Giroux,RW,2021-2022,FLA,18,3,20,23,7,6,2,11,0,0,0,0,51,5.9,57.94
16,Claude Giroux,RW,2022-2023,OTT,33,14,15,29,1,8,3,11,0,1,2,1,82,17.1,62.27
