,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Derick Brassard,C,2007-2008,CBJ,17,1,1,2,-4,6,0,0,0,0,0,0,13,7.69,42.5
1,Derick Brassard,C,2008-2009,CBJ,31,10,15,25,12,17,3,7,0,0,1,0,59,16.95,48.49
2,Derick Brassard,C,2009-2010,CBJ,79,9,27,36,-17,48,4,10,0,0,0,0,125,7.2,41.75
3,Derick Brassard,C,2010-2011,CBJ,74,17,30,47,-11,55,6,16,0,0,3,0,183,9.29,46.62
4,Derick Brassard,C,2011-2012,CBJ,74,14,27,41,-20,42,5,15,0,0,3,1,125,11.2,45.06
5,Derick Brassard,C,2012-2013,CBJ,34,7,11,18,-2,16,1,7,0,0,1,0,63,11.11,45.58
6,Derick Brassard,C,2012-2013,NYR,13,5,6,11,3,0,2,4,0,0,0,0,25,20,52.76
7,Derick Brassard,C,2013-2014,NYR,81,18,27,45,2,46,7,18,0,0,4,1,159,11.32,48
8,Derick Brassard,C,2014-2015,NYR,80,19,41,60,9,34,6,18,0,0,3,2,168,11.31,48.76
9,Derick Brassard,C,2015-2016,NYR,80,27,31,58,12,30,8,22,0,0,5,0,182,14.84,50.22
10,Derick Brassard,C,2016-2017,OTT,81,14,25,39,12,24,3,7,0,0,3,0,195,7.18,49.96
11,Derick Brassard,C,2017-2018,OTT,58,18,20,38,-1,30,4,5,0,0,2,0,164,10.98,49.6
12,Derick Brassard,C,2017-2018,PIT,14,3,5,8,1,4,1,1,0,0,1,0,33,9.09,46.89
13,Derick Brassard,C,2018-2019,PIT,40,9,6,15,-6,29,0,2,0,0,0,0,62,14.52,47.51
14,Derick Brassard,C,2018-2019,FLA,10,1,3,4,-6,2,0,1,0,0,0,0,16,6.25,45.16
15,Derick Brassard,C,2018-2019,COL,20,4,0,4,-7,8,2,2,0,0,0,0,32,12.5,50.74
16,Derick Brassard,C,2019-2020,NYI,66,10,22,32,-2,16,3,10,0,0,1,0,110,9.1,55.18
17,Derick Brassard,C,2020-2021,ARI,53,8,12,20,-10,12,4,6,0,0,1,0,67,11.9,52.64
18,Derick Brassard,C,2021-2022,PHI,31,6,10,16,6,10,1,2,0,0,0,0,46,13,51.3
19,Derick Brassard,C,2021-2022,EDM,15,2,1,3,-2,6,0,0,0,0,1,0,16,12.5,50
20,Derick Brassard,C,2022-2023,OTT,24,4,4,8,1,14,0,3,0,0,1,0,41,9.8,52.23
