,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,James van Riemsdyk,LW,2009-2010,PHI,78,15,20,35,-1,30,4,7,0,0,6,0,173,8.67,0
1,James van Riemsdyk,LW,2010-2011,PHI,75,21,19,40,15,35,3,4,0,0,4,0,173,12.14,0
2,James van Riemsdyk,LW,2011-2012,PHI,43,11,13,24,-1,24,2,5,0,0,1,0,121,9.09,40
3,James van Riemsdyk,LW,2012-2013,TOR,48,18,14,32,-7,26,5,6,0,0,3,0,140,12.86,55.81
4,James van Riemsdyk,LW,2013-2014,TOR,80,30,31,61,-9,50,9,15,2,4,3,0,279,10.75,40.71
5,James van Riemsdyk,LW,2014-2015,TOR,82,27,29,56,-33,43,9,19,1,1,4,1,248,10.89,38.89
6,James van Riemsdyk,LW,2015-2016,TOR,40,14,15,29,3,6,5,9,0,0,0,0,129,10.85,50
7,James van Riemsdyk,LW,2016-2017,TOR,82,29,33,62,-2,37,6,19,0,0,5,0,238,12.18,20
8,James van Riemsdyk,LW,2017-2018,TOR,81,36,18,54,1,30,11,20,0,0,5,0,248,14.52,0
9,James van Riemsdyk,LW,2018-2019,PHI,66,27,21,48,-10,18,8,13,0,0,4,0,167,16.17,54.55
10,James van Riemsdyk,LW,2019-2020,PHI,66,19,21,40,5,8,4,9,0,0,2,0,151,12.6,34.78
11,James van Riemsdyk,LW,2020-2021,PHI,56,17,26,43,2,14,10,12,0,0,1,0,132,12.9,50
12,James van Riemsdyk,LW,2021-2022,PHI,82,24,14,38,-33,25,9,9,0,0,4,0,186,12.9,41.67
13,James van Riemsdyk,LW,2022-2023,PHI,15,5,8,13,1,8,2,4,0,0,0,0,34,14.7,0
