,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Justin Braun,D,2010-2011,SJS,28,2,9,11,-1,2,2,2,0,0,0,0,44,4.55,0
1,Justin Braun,D,2011-2012,SJS,66,2,9,11,-2,23,1,3,0,0,0,0,113,1.77,0
2,Justin Braun,D,2012-2013,SJS,41,0,7,7,-5,6,0,1,0,0,0,0,48,0,0
3,Justin Braun,D,2013-2014,SJS,82,4,13,17,19,20,1,1,0,0,1,0,121,3.31,0
4,Justin Braun,D,2014-2015,SJS,70,1,22,23,8,48,0,2,0,0,0,0,94,1.06,0
5,Justin Braun,D,2015-2016,SJS,80,4,19,23,11,36,0,1,0,0,0,0,114,3.51,0
6,Justin Braun,D,2016-2017,SJS,81,4,9,13,1,28,0,0,0,2,0,0,95,4.21,0
7,Justin Braun,D,2017-2018,SJS,81,5,28,33,7,28,0,0,0,0,0,0,115,4.35,0
8,Justin Braun,D,2018-2019,SJS,78,2,14,16,-14,35,0,1,0,0,0,0,105,1.9,0
9,Justin Braun,D,2019-2020,PHI,62,3,16,19,-2,18,0,1,0,0,0,0,70,4.3,0
10,Justin Braun,D,2020-2021,PHI,53,1,5,6,0,18,0,0,0,0,0,0,59,1.7,0
11,Justin Braun,D,2021-2022,PHI,61,5,11,16,3,36,0,0,0,0,0,0,67,7.5,0
12,Justin Braun,D,2021-2022,NYR,8,1,1,2,-1,0,0,0,0,0,0,0,6,16.7,0
13,Justin Braun,D,2022-2023,PHI,32,0,0,0,0,17,0,0,0,0,0,0,27,0,0
