,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Nicolas Deslauriers,LW,2013-2014,BUF,17,1,0,1,-10,18,0,0,0,0,0,0,30,3.33,0
1,Nicolas Deslauriers,LW,2014-2015,BUF,82,5,10,15,-24,71,0,0,0,1,1,0,76,6.58,0
2,Nicolas Deslauriers,LW,2015-2016,BUF,70,6,6,12,-14,59,0,0,0,0,1,0,72,8.33,0
3,Nicolas Deslauriers,LW,2016-2017,BUF,42,0,2,2,-6,38,0,0,0,0,0,0,26,0,0
4,Nicolas Deslauriers,LW,2017-2018,MTL,58,10,4,14,7,55,0,0,0,1,1,0,77,12.99,66.67
5,Nicolas Deslauriers,LW,2018-2019,MTL,48,2,3,5,-12,22,0,0,1,1,0,0,48,4.17,100
6,Nicolas Deslauriers,LW,2019-2020,ANA,59,7,6,13,-1,92,0,0,0,0,1,0,64,10.9,0
7,Nicolas Deslauriers,LW,2020-2021,ANA,49,5,5,10,-7,53,0,0,0,0,2,0,65,7.7,25
8,Nicolas Deslauriers,LW,2021-2022,ANA,61,5,5,10,-9,90,0,0,1,1,0,0,72,6.9,25
9,Nicolas Deslauriers,LW,2021-2022,MIN,20,3,0,3,-2,23,0,0,0,0,1,0,18,16.7,0
10,Nicolas Deslauriers,LW,2022-2023,PHI,35,1,4,5,-5,64,0,0,0,0,0,0,22,4.5,25
