,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Scott Laughton,C,2012-2013,PHI,5,0,0,0,0,0,0,0,0,0,0,0,10,0,44.19
1,Scott Laughton,C,2014-2015,PHI,31,2,4,6,-1,17,0,1,0,0,0,0,51,3.92,47.35
2,Scott Laughton,C,2015-2016,PHI,71,7,14,21,-2,34,0,0,0,0,0,0,85,8.24,43.81
3,Scott Laughton,C,2016-2017,PHI,2,0,0,0,0,0,0,0,0,0,0,0,4,0,55
4,Scott Laughton,C,2017-2018,PHI,81,10,10,20,-10,42,0,0,1,1,0,0,108,9.26,51.99
5,Scott Laughton,C,2018-2019,PHI,82,12,20,32,-11,53,0,0,0,2,1,0,130,9.23,54.17
6,Scott Laughton,C,2019-2020,PHI,49,13,14,27,13,26,0,0,0,0,2,0,74,17.6,53.87
7,Scott Laughton,C,2020-2021,PHI,53,9,11,20,13,39,0,0,1,1,1,1,89,10.1,48.96
8,Scott Laughton,C,2021-2022,PHI,67,11,19,30,-9,35,0,1,2,2,1,1,110,10,51.03
9,Scott Laughton,C,2022-2023,PHI,31,7,8,15,-14,12,2,4,3,5,0,0,70,10,50
