,Name,Position,Season,Team,Games Played,Goals,Assists,Points,Plus / Minus,Penalty Minutes,Power Play Goals,Power Play Points,Shorthanded Goals,Shorthanded Points,Game Winning Goals,Overtime Goals,Shots,Shooting Percentage,Face-Off Win Percentage
0,Brian Dumoulin,D,2013-2014,PIT,6,0,1,1,1,4,0,0,0,0,0,0,3,0,0
1,Brian Dumoulin,D,2014-2015,PIT,8,1,0,1,0,2,0,0,0,0,0,0,4,25,0
2,Brian Dumoulin,D,2015-2016,PIT,79,0,16,16,11,14,0,0,0,0,0,0,101,0,100
3,Brian Dumoulin,D,2016-2017,PIT,70,1,14,15,0,14,0,4,0,0,0,0,78,1.28,0
4,Brian Dumoulin,D,2017-2018,PIT,80,5,13,18,-5,30,0,0,0,0,1,0,102,4.9,0
5,Brian Dumoulin,D,2018-2019,PIT,76,3,20,23,31,20,0,0,0,4,0,0,99,3.03,0
6,Brian Dumoulin,D,2019-2020,PIT,28,1,7,8,17,10,0,1,1,1,0,0,35,2.9,0
7,Brian Dumoulin,D,2020-2021,PIT,41,4,10,14,18,12,0,0,0,1,0,0,50,8,0
8,Brian Dumoulin,D,2021-2022,PIT,76,3,15,18,24,24,0,0,0,0,0,0,91,3.3,0
9,Brian Dumoulin,D,2022-2023,PIT,33,0,8,8,0,6,0,0,0,1,0,0,21,0,0
